#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:17:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405e01	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/systems}&key:source=J/A+AS/124/75/systems&HTTPPRM:&
#-source=J/A+AS/124/75/systems
#-order=I
#-out=IDS
#-out=Level
#-out=Comp
#-out=Type
#-out=logP
#-out=Sep
#-out=x_Sep
#-out=PA
#-out=Vmag1
#-out=SP1
#-out=Vmag2
#-out=SP2
#-out=Mass1
#-out=MCode1
#-out=Mass2
#-out=MCode2
#-out=Rem
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_systems:
#Name: J/A+AS/124/75/systems
#Title: Individual subsystems
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy (1)	[ucd=meta.code.multip]
#Column	Comp	(A3)	Component designation	[ucd=meta.id]
#Column	Type	(a6)	Observing technique/status (2)	[ucd=meta.code;obs]
#Column	logP	(F5.2)	? Logarithm (10) of period in days	[ucd=time.period]
#Column	Sep	(F8.3)	Separation or axis	[ucd=pos.angDistance]
#Column	x_Sep	(A1)	['"m] Units of sep. (',",m)	[ucd=meta.unit]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Vmag1	(F5.2)	V-magnitude of the primary	[ucd=phot.mag;em.opt.V]
#Column	SP1	(a5)	Spectral type of the primary	[ucd=src.spType]
#Column	Vmag2	(F5.2)	V-magnitude of the secondary	[ucd=phot.mag;em.opt.V]
#Column	SP2	(a5)	Spectral type of the secondary	[ucd=src.spType]
#Column	Mass1	(F6.2)	Mass of the primary	[ucd=phys.mass]
#Column	MCode1	(A1)	Mass estimation code for primary (3)	[ucd=meta.code]
#Column	Mass2	(F6.2)	Mass of the secondary	[ucd=phys.mass]
#Column	MCode2	(A1)	Mass estimation code for secondary (3)	[ucd=meta.code]
#Column	Rem	(a20)	Remark	[ucd=meta.note]
IDS|Level|Comp|Type|logP|Sep|x_Sep|PA|Vmag1|SP1|Vmag2|SP2|Mass1|MCode1|Mass2|MCode2|Rem
06274-5010|  12|CD |V     | 4.59|   0.535|"|  0| 9.70|     | 9.80|     |  0.63|*|  0.63|*|HDO 195
06355+0959|   1|AC |Ch    | 7.30|  16.600|"|  0| 4.70|O7V  | 9.90|B8V  | 42.39|s|  4.48|a|STF 950
06355+0959|  11|AB |Ch    | 6.19|   2.910|"|  0| 4.70|O7V  | 7.90|B7V  | 37.27|s|  5.12|a|STF 950
06355+0959| 111|Aab|S1,v  | 3.93|   0.088|"|  0| 4.70|O7V  | 6.00|     | 31.00|a|  6.27|m|CHARA 168
06358-4458|   1|AC |Cmph  | 8.03|  18.030|"|331| 7.66|B5V  | 9.52|0.03 |  8.55|s|  3.20|a|HJ 3882
06358-4458|  11|AB |v     | 6.62|   1.880|"| 26| 7.68|B5V  |11.06|     |  6.40|a|  2.15|v|HU 1415
06374+5933|   1|AC |Chpm  | 6.30|   8.000|"|309| 4.87|A3V  | 7.18|0.30 |  4.41|s|  1.44|a|SAO 25938, STF 948
06374+5933|  11|AB |V     | 5.41|   1.660|"| 81| 4.87|A3V  | 5.90|     |  2.54|a|  1.87|v|STF 948
06389-3818|   1|AB |Chpm  | 6.57|   7.900|"|276| 6.57|A3V  | 7.85|0.41 |  2.54|s|  1.18|a|Dun 32
06389-3818|  11|Aab|s     |     |   0.000| |  0| 6.29|A3V  | 0.00|F    |  2.54|a|  0.00|a|A&AS 61 53 1985
06399+5549|   1|BA |Cmrp  | 5.88|   4.800|"| 77| 6.28|F6V  | 6.33|F6V  |  1.39|s|  1.25|a|HR 2485, HD 48767
06399+5549|  11|Bab|S1    | 0.63|   1.222|m|  0| 6.28|F6V  | 0.00|M7V  |  1.25|a|  0.14|a|A&AS 136 373 1999
06466-3135|   1|AB |Chp   | 8.01|  42.900|"| 66| 5.70|B6Vnp| 8.20|A3   |  7.26|s|  3.78|s|H 108
06466-3135|  11|Aab|S1    | 1.46|   1.595|m|  0| 6.40|B6Vnp| 6.40|K0III|  5.76|a|  1.50|*|A&A 291 473 1994
06466-3135|  12|BC |v     | 5.46|   0.600|"|106| 8.30|A3   |10.80|     |  2.54|a|  1.24|v|RST 2435
06527+0226|   1|AB |v     | 5.56|   0.910|"| 41| 7.83|A7V  | 8.83|F5V  |  2.71|s|  1.45|s|Hei 715, CHARA 25
06527+0226|  11|Aab|S1    | 0.83|   0.556|m|  0| 7.83|A7V  | 0.00|     |  1.94|a|  0.77|m|Obs. 117 351 1997
06527+0226|  12|Bab|S1    | 0.65|   0.343|m|  0| 8.83|F5V  | 0.00|     |  1.29|a|  0.16|m|Obs. 117 351 1997
06547-3517|   1|AC |Cph?  | 7.53|  14.710|"|270| 7.84|A0?  | 9.72|0.10 |  5.02|s|  2.39|a|HJ 3905
06547-3517|  11|AB |v     | 6.28|   1.900|"|253| 7.84|A0?  | 9.08|0.20 |  3.20|a|  1.82|a|I 66
06550+5419|   1|AB |Cmhrp | 6.91|   8.800|"| 65| 7.78|G0III| 9.31|0.58 |  2.50|a|  1.89|s|STF 1001
06550+5419|  12|BC |v     | 5.98|   1.600|"|  5| 9.97|0.58 |10.17|     |  0.97|a|  0.92|v|STF 1001
06564-0259|   1|AB |v     | 7.37|   2.500|"|  0| 7.90|O8.5V|15.10|     | 28.75|s|  2.13|v|A 518
06564-0259|  11|Aab|S1    | 0.52|   0.066|m|  0| 7.72|O8.5V| 0.00|     | 26.60|a|  2.15|m|ApJS 61 419 1986
06580-1119|   1|Aac|S1    | 2.73|   2.966|m|  0| 8.80|B2IV | 9.03|B4III| 26.48|s|  8.76|a|SB 431
06580-1119|  11|Aab|S2,E  | 0.10|   0.048|m|  0| 9.40|B2IV | 9.52|B2IV | 13.24|a| 13.24|a|FZ CMa  i=87.5
06594-0254|   1|AB |V     | 4.19|   0.270|"|  0| 8.70|dG5  | 9.33|     |  1.15|s|  0.78|v|A 519
06594-0254|  11|Aab|S1    | 0.76|   1.305|m|  0| 8.70|dG5  | 0.00|     |  0.90|a|  0.25|m|JRASCan 82 128 1988
07009-4328|   1|AC |Cmr   | 7.58| 185.000|"|282| 5.54|G3V  | 8.68|K5V  |  1.76|s|  0.69|a|Gl 264, HD 53680
07009-4328|  11|AB |Cmrp  | 6.22|  20.500|"|124| 5.54|G3V  | 6.79|K0V  |  0.98|a|  0.78|a|HR 2668 HD 53706
07057-1831|   1|AB |v     | 4.72|   0.800|"|338| 6.28|F3V  | 9.64|     |  2.34|s|  0.65|v|RST 2456
07057-1831|  11|Aab|s     |     |   0.000| |  0| 6.28|F3V  | 0.00|     |  1.46|a|  0.88|:|A&AS 61 53 1985
07103-1518|   1|AC |Chpm  | 7.10|  16.000|"|  2| 7.80|F8   | 9.83|0.62 |  2.29|s|  0.94|a|STF 1057
07103-1518|  11|AB |V     | 5.27|   0.727|"|269| 8.15|F8   | 8.37|     |  1.18|a|  1.11|v|Bu 575
07124-1151|   1|AC |Chpm  | 6.79|  15.910|"|240| 6.79|F5V  | 9.53|0.84 |  2.58|s|  0.84|a|STF 1064
07124-1151|  11|AB |V     | 4.60|   0.244|"|146| 7.54|F5V  | 7.54|     |  1.29|a|  1.29|v|A 2123
07142+2210|   1|AB |V     | 5.64|   6.975|"|220| 3.55|F2IV | 8.18|K3V  |  1.54|s|  0.73|a|STF 1066
07142+2210|  11|Aab|A,S1,o| 3.35|   0.215|"|  0| 3.70|F2IV | 5.70|     |  1.54|a|  0.00|m|SB 442
07146-2446|   1|AP |v     | 4.90|   0.200|"| 89| 4.95|O9Ib | 5.39|     | 85.60|s| 41.02|v|Fin 313
07146-2446|  11|Aab|S1    | 2.19|   2.736|m|  0| 4.95|O9Ib | 0.00|     | 50.00|a| 35.60|s|SB 444
07146-2446| 112|Abc|E     | 0.11|   0.084|m|  0| 0.00|B0V? | 0.00|B0V  | 17.80|a| 17.80|a|A&A 327 1070 1997
07147+5528|   1|AB |Cmrph | 7.18|  14.750|"|315| 5.45|B8V  | 6.53|B9V  |  6.87|s|  3.84|a|HR 2783 HD 57102
07147+5528|  11|Aab|S2    | 0.35|   0.365|m|  0| 5.98|B8V  | 6.92|     |  4.48|a|  2.39|q|SB 445
07166-5710|   1|AB |v     | 5.56|   2.400|"|240| 7.90|G0V  |13.00|     |  2.03|s|  0.82|s|RST 244
07166-5710|  11|AP |v     | 4.18|   0.261|"|233| 8.35|G0V  | 9.06|     |  1.10|a|  0.93|v|HIPPARCOS
07166-5710|  12|BC |v     | 4.47|   0.300|"|  0|13.60|M1V? |14.00|     |  0.42|a|  0.40|v|RST 244
07180-5207|   1|AB |Chmrp | 6.05|   9.300|"| 25| 6.02|F9V  | 6.66|0.58 |  2.65|s|  0.97|a|HR 2813, HD 57852
07180-5207|  11|Aac|S1    | 2.09|   0.019|"|  0| 6.02|0.44 | 0.00|     |  1.53|s|  1.12|m|A&A 235 291 1990
07180-5207| 111|Aab|S1    | 1.00|   3.015|m|  0| 6.02|0.44 | 0.00|     |  1.13|a|  0.40|m|A&A 235 291 1990
07214+4823|   1|AC |Chp   | 7.13|  16.600|"| 93| 5.69|B9pHg|11.25|0.65 |  5.78|s|  0.92|a|BU 758
07214+4823|  11|AB |v     | 5.41|   1.120|"| 93| 5.71|B9pHg| 9.88|     |  4.64|s|  1.14|v|KUI 30
07214+4823| 111|Aab|S1    | 3.26|   0.039|"|  0| 5.71|B9pHg| 0.00|     |  3.88|a|  0.76|m|SB 452
07218+2139|   1|AB |Chpr  | 6.98|  42.900|"|324| 5.22|F5V+ |10.95|1.35 |  3.90|s|  0.62|a|SHJ 368
07218+2139|  11|AD |v     | 5.44|   3.860|"|  0| 5.25|F5V  | 9.14|     |  3.36|s|  0.54|v|cf. HIP
07218+2139| 111|Aac|V,o,s | 2.88|   0.074|"|  0| 5.58|F5V+ | 6.58|     |  2.36|s|  1.00|v|McA 30. Fekel
07218+2139|1111|Aab|S2,o  | 0.29|   1.188|m|  0| 6.11|F5V+ | 6.61|     |  1.29|a|  1.07|q|SB 454
07227+3159|   1|AP |Cmr   | 8.48| 724.000|"|358| 4.18|F0V  | 7.74|dK8  |  3.01|s|  0.56|a|HD 58830 Gl 273.1
07227+3159|  11|AB |v     | 5.02|   3.400|"|  8| 4.18|F0V  |12.50|     |  2.70|s|  0.31|v|Gl 274AB
07227+3159| 111|Aab|s?    |     |   0.000|"|  0| 4.18|F0V  | 0.00|     |  1.70|a|  1.00|:|A&A 248 485 1991
07234+4824|   1|AB |Cm    | 7.22| 106.000|"|161|13.56|dM5  |14.60|DA   |  0.42|s|  0.80|s|Gl 275.2 AB
07234+4824|  11|Aab|A     | 2.54|   0.050|"|  0|13.56|dM5  | 0.00|     |  0.21|a|  0.21|:|Gl 275.2A
07234+4824|  12|BC |V     | 3.87|   0.656|"|  0|14.60|     | 0.00|     |  0.80|*|  0.00| |G107-69
07248-1447|   1|AC |Cm    | 6.57|  20.000|"|188| 6.05|F7V  |11.78|0.67 |  2.20|s|  0.91|a|STF 1104
07248-1447|  11|AB |V     | 5.60|   3.684|"| 11| 6.37|F7V  | 7.45|0.55 |  1.21|a|  0.99|a|STF 1104
07261-4306|   1|AB |Chprm | 6.72|  22.300|"| 74| 3.25|K5III| 8.81|G5V  |  6.99|s|  0.90|a|DUN 51
07261-4306|  11|Aab|S1,A  | 2.41|   0.029|"|  0| 3.25|K5III| 0.00|     |  5.00|a|  1.99|m|SB 458
07268+2306|   1|AB |Crhp  | 6.93|  11.620|"|179| 6.54|K0III| 8.96|F7V  |  5.33|s|  3.34|s|STF 1108
07268+2306|  11|Aab|S1    | 2.87|   0.019|"|  0| 6.54|K0III| 0.00|     |  4.00|a|  1.33|m|Obs. 114 268 1994
07268+2306|  12|Bab|s2    | 3.81|   0.070|"|  0| 9.80|F7V  |10.16|F9V  |  2.20|s|  1.14|a|Obs. 114 268 1994
07268+2306| 121|Bac|S2    | 1.43|   1.587|m|  0| 9.76|F7V  |10.76|G3V  |  1.21|*|  0.99|*|Obs. 114 268 1994
07282+3206|   1|AC |Cm    | 6.72|  72.500|"|164| 1.98|A1V  | 9.07|M0.5V|  6.45|s|  1.17|s|STF 1110, Gl 278C
07282+3206|  11|AB |V     | 5.27|   7.369|"| 94| 1.98|A1V  | 2.88|A2Vm |  3.22|s|  3.23|s|HR 2890 HD 60178
07282+3206|  12|Ca |S2,E  |-0.09|   1.113|m|  0| 9.77|M0.5V| 9.77|     |  0.59|*|  0.58|*|YY Gem, SB 463
07282+3206| 111|Aab|S1    | 0.96|   7.989|m|  0| 1.98|A1V  | 0.00|     |  2.98|a|  0.24|m|SB 462
07282+3206| 112|Bab|S1    | 0.47|   3.724|m|  0| 2.88|A2Vm | 0.00|     |  2.76|a|  0.47|m|SB 461
07328-0222|   1|AC |v     | 5.71|   1.360|"|303| 8.00|A5   |10.67|     |  4.08|s|  1.02|v|A 534
07328-0222|  11|AB |v     | 4.06|   0.100|"|148| 8.66|A5   | 8.86|     |  2.10|a|  1.98|v|B 2525
07337-3444|   1|AC |v     | 4.62|   0.475|"| 33| 4.77|B8IV | 6.27|     |  8.27|s|  2.75|v|FIN 324 AC
07337-3444|  11|AB |v     | 3.60|   0.090|"|165| 5.30|B8IV | 5.80|     |  4.48|a|  3.79|v|FIN 324
07374-7403|   1|AB |v     | 5.97|   1.902|"|125| 6.99|B9IV | 7.00|B9   |  6.06|s|  3.84|a|HR 2980, HJ 3997
07374-7403|  11|Aab|s2    |     |   0.000| |  0| 6.99|B9IV | 0.00|     |  3.84|a|  2.22|*|A&AS 52 471 1985
07377+6418|   1|AC |Chpm  | 7.22|  11.410|"|174| 7.12|A2   |10.22|0.56 |  2.76|a|  0.98|a|STF 1127
07377+6418|   1|AB |Chpm  | 6.62|   5.370|"|340| 7.12|A2   | 8.60|0.35 |  2.76|a|  1.30|a|STF 1127
07409-1426|   1|AB |Cmrhp | 7.05|  16.771|"|340| 6.07|A2V  | 6.89|A8V  |  2.76|a|  3.71|s|HR 3009 HD 62863
07409-1426|  12|Bab|S2,E  | 0.22|   0.387|m|  0| 7.60|A8V  | 7.60|     |  1.86|a|  1.85|q|SB 475, PV Pup
07426+2323|   1|AC |Ch    | 6.24|   4.000|"| 34| 6.18|G2III|13.50|     |  5.10|s|  0.46|v|BU 1062
07426+2323|  11|AB |v,s   | 4.31|   0.200|"| 51| 6.73|G2III| 7.18|A4V  |  2.78|a|  2.32|a|WRH  15
07559-6002|   1|AB |Cmp   | 6.89|  61.000|"| 80| 5.60|G0V  | 9.88|1.34 |  1.10|a|  0.98|s|LDS 198
07559-6002|  12|BC |v     | 4.92|   2.300|"|286| 9.88|1.34 |13.50|     |  0.63|a|  0.35|v|JSP 208
07569-0819|   1|AB |V     | 4.74|   0.482|"|225| 7.40|F5III| 8.90|A2V  |  2.10|s|  2.76|a|A  1580
07569-0819|  11|Aab|E,s   | 0.26|   0.372|m|  0| 7.40|F5III| 0.00|     |  1.30|a|  0.80|:|IBVS 984 1 1975
07575+4734|   1|AC |Chp   | 6.82|   5.860|"|214| 8.93|F5   | 9.23|0.43 |  2.58|s|  1.15|a|STF 1174
07575+4734|  11|AB |v     | 4.70|   0.200|"|356| 9.70|F5   | 9.70|     |  1.29|a|  1.29|v|A 2050
07588+1235|   1|AC |Chp   | 5.71|   5.000|"|213| 8.60|G5   |11.40|1.30 |  1.78|s|  0.65|a|BU 581
08011+7948|   1|AB |Cmhpr | 7.17|  20.700|"| 14| 8.36|0.54 | 8.60|0.56 |  1.39|s|  0.98|a|STF 1169
08011+7948|  11|Aab|S1    | 0.69|   0.824|m|  0| 8.36|0.54 | 0.00|     |  1.00|a|  0.39|m|A&AS 121 71 1997
08016-0857|   1|AB |Cphm  | 7.62|  30.900|"|327| 6.23|B9V  | 7.93|A1V  |  3.84|a|  3.89|s|HD 67158  BD-08 2221
08016-0857|  12|BC |v     | 5.58|   1.070|"|323| 7.93|A1V  |12.20|     |  2.98|a|  0.91|v|A 543
08032+3231|   1|AB |v     | 5.77|   2.900|"| 25| 7.17|0.47 | 7.90|0.46 |  1.78|s|  1.10|a|STF 1187
08032+3231|  11|AP |v     | 3.94|   0.150|"|148| 7.17|0.47 | 0.00|     |  1.09|a|  0.69|:|CHARA 190
08065+1757|   1|AC |V     | 5.61|   7.700|"| 79| 5.63|F8V  | 6.02|F9V  |  2.28|s|  2.59|s|HR 3210 HD 68255
08065+1757|  11|AB |V,s   | 4.34|   0.880|"| 83| 5.63|F8V  | 6.02|G0V  |  1.18|a|  1.10|a|HR 3209 HD 68256
08065+1757|  12|Cab|V,A,o | 3.80|   0.182|"|  0| 6.02|F9V  | 0.00|WD   |  1.14|a|  1.45|*|
08065-4702|   1|AB |Crmh  | 7.50|  41.200|"|220| 1.78|WC8  | 4.27|B2III|140.70|s| 14.71|s|HR 3206 HD 68243
08065-4702|   1|AC |Cphr  | 8.12|  63.000|"|151| 1.78|WC8  | 7.65|B6V  |140.00|s| 14.71|s|CD-46 3848
08065-4702|  11|AP |Cp?   | 6.11|   4.690|"| 13| 1.78|WC8  |16.61|K4V  |140.00|s|  0.71|a|ADONIS
08065-4702|  12|Bab|S1    | 0.17|   0.243|m|  0| 4.27|B2III| 0.00|     | 13.28|a|  1.43|m|SB 499
08065-4702| 111|Aab|S2    | 1.89|   7.266|m|  0| 1.78|WC8  | 0.00|O9I  | 90.00|*| 50.00|a|SB 500 i<70
08076-6819|   1|AB |Chp   | 6.64|   6.100|"| 24| 4.38|B6IV | 7.31|0.06 |  9.02|s|  2.86|a|RMK 7
08076-6819|  11|Aab|S1    | 1.15|   1.217|m|  0| 4.38|B6IV | 0.00|     |  5.76|a|  3.26|m|SB 502
08093-4558|   1|AB |v     | 5.12|   0.559|"|275| 6.34|B5V  | 7.50|     |  9.67|s|  4.30|v|SEE 96
08093-4558|  11|Aab|v     | 3.55|   0.045|"|159| 6.34|B5V  | 0.00|     |  6.40|a|  3.27|:|CHARA 143
08140+4743|   1|AC |Cmhpr | 7.49|  38.600|"|168| 8.55|F8   | 9.84|G7V  |  1.79|s|  1.57|s|BD+47 1566, STT 190
08140+4743|  11|AB |v     | 5.60|   1.710|"|251| 8.60|F7V  |11.91|     |  1.21|a|  0.58|v|HU 224
08140+4743|  12|CR |V     | 5.01|   0.479|"|284|10.27|G7   |11.05|     |  0.85|a|  0.72|v|A 1745
08201-7112|   1|AB |Cmhp  | 7.86|  65.000|"| 57| 5.37|B9III| 5.65|A0IV |  3.88| |  3.20| |HR 3302 HD 71066
08201-7112|   1|BC |Chm   | 7.51|  38.000|"| 30| 5.65|A0IV | 7.92|0.58 |  5.96|s|  0.97|a|CP-71  679
08201-7112|  11|Aab|s2    |     |   0.000|"|  0| 5.37|B9III| 0.00|     |  3.88|a|  2.08|:|cf. BS, SB-
08207+2451|   1|AB |Cmrp  | 6.16|   5.700|"|335| 7.02|F0III| 7.87|F7V  |  1.70|a|  2.42|s|HR 3313 HD 71153
08207+2451|  12|BC |V     | 3.90|   0.149|"|  0| 8.62|F7V  | 8.62|     |  1.21|a|  1.21|v|A 1746
08207+3232|   1|AB |Cmrp  | 8.09| 107.700|"|  0| 8.40|G4   | 9.20|K2   |  1.61|s|  1.44|s|ADS 6814
08207+3232|  11|Aab|S1    | 3.17|   0.046|"|  0| 8.40|G4   | 0.00|     |  0.94|a|  0.67|m|Halbwachs, priv.com.
08207+3232|  12|BC |V     | 4.46|   0.350|"|  0| 9.10|K2   | 9.40|     |  0.74|a|  0.70|v|HU 714
08215-4227|   1|AB |v     | 5.54|   0.439|"|112| 6.55|B3V  | 6.95|     | 18.28|s|  9.44|v|RST 4888
08215-4227|  11|AP |v     | 4.20|   0.049|"|  1| 6.89|B3V  | 7.99|     | 10.96|a|  7.32|v|CHARA 226
08226-3843|   1|AB |Cmrp  | 6.82|   8.100|"|122| 6.50|B9V  | 7.17|A2V  |  5.78|s|  5.08|s|HR 3328 HD 71488
08226-3843|  11|Aab|E     | 0.10|   0.217|m|  0| 6.50|B9V  | 0.00|A7V  |  3.84|a|  1.94|a|NO Pup. SB-, i=78
08226-3843|  12|BC |v     | 4.12|   0.100|"|275| 7.83|A3V  | 8.03|A3V  |  2.54|a|  2.54|a|B 1605
08231-2031|   1|AB |v     | 5.13|   0.420|"|215| 6.75|A2V  | 8.54|     |  4.20|s|  1.62|v|B 2179
08231-2031|  11|Aab|S2,E  | 0.66|   0.393|m|  0| 7.50|A2V  | 7.50|     |  2.10|*|  2.10|*|SB 513, VV Pyx
08234-0211|   1|AC |Chpr  | 6.85|  18.100|"|330| 6.39|A5m  |10.50|0.82 |  6.66|s|  0.84|a|STF 1233
08234-0211|  11|AB |V     | 4.28|   0.337|"|330| 7.10|A5m  | 7.20|A5m  |  3.20|s|  3.46|s|A 551
08234-0211| 111|Aab|S1,E  | 0.40|   0.680|m|  0| 7.23|A5m  | 9.50|G0   |  2.10|a|  1.10|a|SB 515, i=86
08234-0211| 112|Bab|S2    | 0.78|   1.248|m|  0| 7.20|A5m  | 0.00|     |  2.10|a|  1.36|q|SB 514, i=45
08252+7503|   1|AB |v     | 5.35|   1.470|"|233| 6.38|A2m  | 9.91|     |  3.96|s|  1.02|v|STT 192
08252+7503|  11|Aab|S1    | 0.63|   0.972|m|  0| 6.31|A2m  | 0.00|     |  2.76|a|  1.20|m|SB 516
08259+1944|   1|AB |Cm    | 5.78|  12.000|"|348|11.89|M3.5e|13.32|M4   |  0.83|s|  0.51|s|LDS 905
08259+1944|  11|Aab|S2,E  | 0.44|   2.830|m|  0|11.70|M3.5e|12.45|     |  0.43|*|  0.40|*|A&A 342 L63 1999
08259+1944|  12|BP |v,s   | 3.70|   0.360|"|  0|13.71|M4   |14.61|     |  0.26|a|  0.25|v|A&A 342 L63 1999
08259-4736|   1|AB |Chp   | 6.84|   3.510|"|245| 5.51|B2IV | 7.34|B4V  | 26.48|s|  8.68|a|HJ 4104
08259-4736|  11|AP |v,s   | 4.59|   0.100|"|130| 6.26|B2IV | 6.26|     | 13.24|a| 13.24|v|FIN 315
08277-3844|   1|AC |Ch    | 8.13|  30.800|"|100| 6.31|B4V  | 9.60|     | 19.75|s|  2.86|v|HJ 4107
08277-3844|  11|AB |Chp   | 6.90|   4.470|"|329| 6.44|B4V  | 8.17|-0.13| 13.00|s|  6.75|a|HJ 4107
08279-1441|   1|AB |v     | 4.24|   0.300|"|212| 6.38|A7V  | 8.50|     |  3.06|s|  1.09|v|B 2528
08279-1441|  11|Aab|s,a   |     |   0.000| |  0| 6.38|A7V  | 0.00|     |  1.94|a|  1.12|:|A&AS 61 53 1985
08305+0658|   1|AB |Cmrh  | 5.96|  10.300|"| 25| 5.99|F8V  | 7.25|G1V  |  1.49|s|  1.73|s|HR 3396 HD 72946
08305+0658|  11|Aab|S1    | 1.16|   4.964|m|  0| 5.99|F8V  | 0.00|     |  1.18|a|  0.31|m|SB 523
08305+0658|  12|Bab|s?    |     |   0.000|"|  0| 7.25|G1V  | 0.00|     |  1.06|a|  0.67|:|A&A 248 485 1991 DM
08354+2013|   1|Aac|s     |     |   0.000| |  0|10.88|G4V  |14.90|K9V  |  0.96|*|  0.54|*|A&A 283 515 1994
08354+2013|  11|Aab|S2    | 0.49|   0.322|m|  0|10.88|G4V  |12.72|K0V  |  0.96|*|  0.78|*|A&A 283 515 1994
08355-4004|   1|AB |v     | 5.75|   0.660|"|  0| 7.60|O8.5V| 8.80|     | 38.58|s| 16.34|v|B 1623
08355-4004|  11|Aab|E     | 0.18|   0.113|m|  0| 7.60|O8.5V| 0.00|     | 26.60|a| 11.98|:|HIPPARCOS
08356+1925|   1|Aac|s2    |     |   0.000| |  0|10.70|G1V  |11.46|G6V  |  1.73|s|  0.90|*|A&A 283 515 1994
08356+1925|  11|Aab|S1    | 1.71|   2.236|m|  0|10.70|G1V  |12.70|K3V  |  1.02|*|  0.71|*|A&A 283 515 1994
08371-5242|   1|AB |Chrpm | 7.02|  16.600|"| 30| 5.19|B4IV | 8.66|F0IV | 10.56|s|  1.70|a|HJ 4126
08371-5242|  11|Aab|S1    | 0.50|   0.717|m|  0| 5.19|B4IV | 0.00|     |  8.68|a|  1.88|m|ApSpSci 146 361 1988
08373+0956|   1|AC |Cmrp  | 7.34| 115.000|"| 96| 9.70|M0   |11.79|M3.5 |  1.10|s|  0.31|a|Gl 319C
08373+0956|  11|AB |v     | 4.82|   2.200|"|152| 9.70|M0   |13.10|     |  0.79|s|  0.31|v|ST 8
08373+0956| 111|Aab|S1    | 1.32|   9.212|m|  0| 9.70|M0   | 0.00|     |  0.47|a|  0.32| |A&A 200 135 1988
08374+1948|   1|Aab|s     |     |   0.000| |  0|10.76|G1V  |11.43|G6V  |  1.00|*|  1.75|s|A&A 283 515 1994
08374+1948|  12|Abc|S2    | 1.56|   1.489|m|  0|11.43|G6V  |11.61|G8V  |  0.90|*|  0.85|*|A&A 283 515 1994
08415+0647|   1|AD |Ch    | 6.48|  19.000|"|199| 3.38|G5III|12.70|     |  6.65|s|  0.36|v|STF 1273
08415+0647|  11|AC |V,s   | 5.56|   2.800|"|283| 3.53|G5III| 6.63|dF7  |  5.06|s|  1.59|s|STF 1273
08415+0647| 111|AB |V,S1  | 3.74|   0.250|"|283| 3.80|G5III| 4.70|A8IV |  3.20|a|  1.86|a|SB 533
08415+0647| 112|Ca |S1    | 1.00|   2.539|m|  0| 6.80|dF7  | 0.00|     |  1.21|a|  0.38|m|SB 532
08419-5420|   1|AC |Cmh   | 7.08|  69.200|"| 61| 1.96|A1V  |11.00|     |  4.06|s|  0.36|s|HJ 4136
08419-5420|  11|AB |v     | 4.96|   2.600|"|175| 2.00|A1V  | 5.58|     |  2.98|a|  1.08|v|I 10
08419-5420|  12|CD |Ch?   | 6.05|   6.200|"|102|11.00|     |13.50|     |  0.36|*|  0.00| |HJ 4136
08467-0648|   1|AB |v     | 5.53|   1.139|"|123| 5.79|A4m  | 7.47|     |  4.18|s|  1.43|v|BU 587
08467-0648|  11|Aab|S2    | 0.46|   0.429|m|  0| 6.54|A4m  | 6.54|     |  2.32|a|  1.86|q|ApJS 59 229 1985,SB-
08472-4609|   1|AB |Ch?   | 7.45|   3.200|"| 84| 5.10|O9.5V|10.00|     | 22.20|s|  3.75|v|HdO 205
08472-4609|  11|Aab|S2,E  | 1.42|   0.292|m|  0| 5.00|O9.5V| 0.00|     | 22.20|a|  0.00| |A&A 320 109 1997
08524+4826|   1|AB |V     | 5.47|   9.092|"| 24| 3.14|A7IV |10.80|dM1  |  2.76|s|  0.83|s|HJ 2477
08524+4826|  11|Aab|S1?,A | 3.60|   0.474|"|  0| 3.14|A7IV | 0.00|     |  1.94|a|  0.82|m|SB 543. ApJ 188 291
08524+4826|  12|BC |V     | 4.16|   0.680|"|  0|10.80|dM1  |11.00|     |  0.42|a|  0.41|v|HU 628
08530+1215|   1|AB |Ch    | 6.45|  11.300|"|322| 4.25|A5m  |11.80|     |  3.30|s|  0.38|v|HJ  110
08530+1215|  11|Aab|o,s,a | 3.39|   0.100| |  0| 4.25|A5m  | 0.00|     |  2.10|a|  1.20|:|
