#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:21:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe11a67cd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/other/ApSS/361.126&tab:{J/other/ApSS/361.126/table4}&key:source=J/other/ApSS/361.126&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/ApSS/361.126/table4
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=e_Vmag
#-out=U-B
#-out=e_U-B
#-out=B-V
#-out=e_B-V
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Pmemb
#-out.all=2
#

#RESOURCE=yCat_1017036102
#Name: J/other/ApSS/361.126
#Title: NGC 6819 CCD UBV photometry (Ak+, 2016)
#Table	J_other_ApSS_361_126_table4:
#Name: J/other/ApSS/361.126/table4
#Title: Photometric and astrometric catalogue NGC 6819
#Column	ID	(I4)	[1/7060] Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F6.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability [NULL integer written as an empty string]	[ucd=stat]
ID|RAJ2000|DEJ2000|Vmag|e_Vmag|U-B|e_U-B|B-V|e_B-V|pmRA|e_pmRA|pmDE|e_pmDE|Pmemb
5871|19 41 51.92|+40 08 47.51|20.249| 0.031|      |      | 1.655| 0.095| -11.7| 7.3| -13.1| 7.3| 52
5872|19 41 51.93|+40 15 07.14|20.182| 0.031|      |      | 1.609| 0.095|      |    |      |    |
5873|19 41 51.93|+40 19 31.38|20.261| 0.034|      |      | 1.118| 0.073|      |    |      |    |
5874|19 41 51.95|+40 13 17.74|18.785| 0.009| 0.033| 0.050| 0.728| 0.017|   1.5| 5.9|  -0.2| 5.9| 78
5875|19 41 51.97|+40 20 31.45|18.518| 0.008| 0.160| 0.045| 0.690| 0.014|  -2.7| 5.1|  -3.2| 5.1| 99
5876|19 41 51.98|+40 13 59.30|20.801| 0.051|      |      | 1.942| 0.193|      |    |      |    |
5877|19 41 52.03|+40 03 15.89|17.545| 0.004| 0.294| 0.025| 0.805| 0.007|  -2.9| 4.2|  -1.0| 4.2| 92
5878|19 41 52.03|+40 03 44.05|15.912| 0.005| 0.559| 0.014| 0.885| 0.006|   3.1| 3.8|  -8.9| 3.8| 28
5879|19 41 52.04|+40 11 51.11|19.410| 0.015| 0.535| 0.129| 0.817| 0.029|  -6.9| 5.1|   0.8| 5.1| 81
5880|19 41 52.05|+40 11 17.86|19.413| 0.015|      |      | 1.043| 0.033|   6.1| 6.6|   1.0| 6.6| 54
5881|19 41 52.05|+40 03 24.92|17.403| 0.004| 0.342| 0.023| 0.813| 0.007|  -9.2| 4.4|   3.5| 4.4| 43
5882|19 41 52.06|+40 11 06.68|20.039| 0.025|      |      | 1.155| 0.058|      |    |      |    |
5883|19 41 52.06|+40 03 36.50|18.875| 0.011|      |      | 1.060| 0.021|  -1.9| 5.1|   2.3| 5.1| 74
5884|19 41 52.08|+40 05 22.98|20.635| 0.044|      |      | 1.579| 0.125|   5.0| 6.6|  28.9| 6.6|  0
5885|19 41 52.08|+40 14 53.36|18.654| 0.009| 0.924| 0.129| 1.135| 0.021|  80.8| 6.5|-702.5| 7.1|  0
5886|19 41 52.10|+40 07 55.28|18.229| 0.007| 0.553| 0.055| 0.977| 0.013|  -9.3| 4.6|   1.4| 4.6| 58
5887|19 41 52.10|+40 04 55.49|18.824| 0.010| 0.672| 0.089| 0.824| 0.018|  -3.5| 5.1|  -3.2| 5.1|100
5888|19 41 52.17|+40 09 16.41|17.633| 0.004| 0.360| 0.028| 0.880| 0.008|  -0.2| 4.3|   2.8| 4.3| 54
5889|19 41 52.17|+40 20 57.36|20.296| 0.036|      |      | 1.151| 0.078|   0.4| 8.8|   2.9| 8.8| 85
5890|19 41 52.17|+40 07 48.38|18.871| 0.010| 0.557| 0.094| 0.967| 0.020|  -0.9| 5.2| -17.0| 5.2| 20
5891|19 41 52.18|+40 01 21.47|19.783| 0.022|      |      | 0.757| 0.038| -16.9| 5.4|   3.7| 5.4| 19
5892|19 41 52.18|+40 09 10.35|19.766| 0.020|      |      | 0.850| 0.039|  -7.4| 5.9| -12.4| 5.9| 55
5893|19 41 52.22|+40 10 53.97|20.408| 0.034|      |      | 1.016| 0.074|      |    |      |    |
5894|19 41 52.22|+40 09 40.45|19.557| 0.017| 0.015| 0.096| 0.761| 0.031|   1.7| 7.2|  11.5| 7.2| 34
5895|19 41 52.22|+40 04 32.36|20.319| 0.034|      |      | 1.156| 0.073|      |    |      |    |
5896|19 41 52.24|+40 02 57.30|19.494| 0.017| 0.175| 0.127| 0.942| 0.033|   0.4| 6.4|  -2.8| 6.4| 90
5897|19 41 52.24|+40 12 23.86|20.087| 0.027|      |      | 1.199| 0.063| 134.6| 6.4| -33.2| 6.4|  0
5898|19 41 52.27|+40 10 29.20|18.687| 0.009| 0.350| 0.075| 1.076| 0.019|   8.3| 6.6|  -0.6| 6.6| 45
5899|19 41 52.29|+40 07 35.72|17.503| 0.004| 0.519| 0.029| 0.882| 0.007|   2.9| 4.2|  -4.9| 4.2| 52
5900|19 41 52.33|+40 13 37.66|20.659| 0.044|      |      | 1.307| 0.113|      |    |      |    |
5901|19 41 52.34|+40 03 04.72|18.395| 0.007| 0.310| 0.045| 0.683| 0.013|  -7.3| 4.5| -10.8| 4.5| 48
5902|19 41 52.35|+40 05 27.21|19.574| 0.018|      |      | 1.148| 0.039| 160.7| 6.4|-132.1| 6.4|  0
5903|19 41 52.35|+40 12 50.86|20.122| 0.027|      |      | 0.874| 0.054|      |    |      |    |
5904|19 41 52.39|+40 11 52.92|19.549| 0.017|      |      | 1.036| 0.036|  10.6| 6.0|  -0.7| 6.0| 26
5905|19 41 52.40|+40 06 31.87|17.010| 0.003| 0.284| 0.017| 0.801| 0.005|  -2.7| 4.0|  -4.9| 4.0| 94
5906|19 41 52.42|+40 03 29.12|18.279| 0.007| 1.211| 0.119| 1.230| 0.015|   8.8| 4.2|  29.5| 4.2|  0
5907|19 41 52.42|+40 18 57.37|15.201| 0.003| 0.024| 0.006| 0.534| 0.004|  -2.5| 3.8| -24.3| 3.9|  0
5908|19 41 52.46|+40 14 07.99|19.679| 0.020|      |      | 1.886| 0.071|  -6.1| 6.6|  -1.9| 6.6| 97
5909|19 41 52.47|+40 15 28.94|20.346| 0.036|      |      | 1.304| 0.108| 212.6| 7.1|-161.2| 7.1|  0
5910|19 41 52.51|+40 14 11.93|20.812| 0.051|      |      | 1.129| 0.158|  -6.1| 6.6|  -1.9| 6.6| 97
5911|19 41 52.51|+40 18 27.18|18.634| 0.009| 0.449| 0.068| 0.878| 0.017|  -5.0| 5.1|  -3.7| 5.1| 99
5912|19 41 52.52|+40 06 49.77|17.081| 0.003| 0.652| 0.024| 0.941| 0.006|  -3.8| 4.0|   0.5| 4.0| 82
5913|19 41 52.53|+40 00 39.70|20.574| 0.045|      |      |      |      |      |    |      |    |
5914|19 41 52.56|+40 15 35.16|20.650| 0.047|      |      | 0.542| 0.083|      |    |      |    |
5915|19 41 52.56|+40 19 52.50|20.014| 0.027|      |      | 0.822| 0.050| -10.0| 8.6|   3.0| 8.6| 80
5916|19 41 52.59|+40 21 00.15|19.649| 0.021|      |      | 0.781| 0.037|   1.9| 7.2|   8.8| 7.2| 46
5917|19 41 52.59|+40 07 41.26|20.871| 0.053|      |      | 1.797| 0.179|      |    |      |    |
5918|19 41 52.61|+40 03 10.26|18.864| 0.010| 0.158| 0.063| 0.751| 0.018|  -3.8| 5.1|  -2.7| 5.1|100
5919|19 41 52.62|+40 13 03.50|20.421| 0.035|      |      | 0.678| 0.064|      |    |      |    |
5920|19 41 52.63|+40 10 30.27|19.116| 0.013|      |      | 1.341| 0.030|  40.9| 5.1|   5.9| 5.1|  0
5921|19 41 52.63|+40 17 32.64|19.130| 0.013|      |      | 1.116| 0.028|   0.8| 5.9|   1.0| 5.9| 77
5922|19 41 52.65|+40 13 46.48|17.564| 0.004| 0.094| 0.022| 0.780| 0.008|  -1.4| 4.0|  -0.5| 4.0| 82
5923|19 41 52.68|+40 09 47.66|16.286| 0.002| 1.051| 0.021| 1.234| 0.004|  -4.9| 3.8|  -1.6| 3.8| 44
5924|19 41 52.69|+40 11 34.20|19.232| 0.013| 0.453| 0.127| 1.074| 0.029|  -0.9| 5.2|   1.5| 5.2| 76
5925|19 41 52.69|+40 08 57.08|19.851| 0.022|      |      | 0.896| 0.043|  -4.3| 7.2|   0.4| 7.2| 94
5926|19 41 52.69|+40 10 13.95|19.437| 0.015| 0.326| 0.108| 0.760| 0.029|-115.6| 6.6| -76.3| 6.6|  0
5927|19 41 52.73|+40 04 26.60|15.321| 0.004| 1.041| 0.015| 1.216| 0.005|  -8.8| 3.8|   2.3| 3.8| 43
5928|19 41 52.74|+40 04 51.45|17.206| 0.003| 0.573| 0.025| 0.919| 0.006|  -8.4| 4.0|   4.3| 4.0| 34
5929|19 41 52.75|+40 03 25.02|18.538| 0.008| 0.324| 0.057| 0.823| 0.015|  -0.4| 5.2|  -0.8| 5.2| 85
5930|19 41 52.76|+40 15 59.60|19.051| 0.013| 0.441| 0.127| 1.137| 0.028|      |    |      |    |
5931|19 41 52.77|+40 01 24.20|18.666| 0.009| 0.037| 0.048| 0.683| 0.015|  -1.0| 5.1|   1.3| 5.1| 77
5932|19 41 52.78|+40 14 08.66|17.921| 0.005| 0.241| 0.032| 0.801| 0.010|  -1.3| 5.1|  -4.5| 5.1| 93
5933|19 41 52.82|+40 17 15.42|19.874| 0.024|      |      | 1.527| 0.066|  -6.6| 8.1|  -2.1| 8.1| 97
5934|19 41 52.83|+40 16 40.26|17.580| 0.004| 0.152| 0.023| 0.744| 0.008| -15.3| 4.3|   6.5| 4.3|  7
5935|19 41 52.84|+40 15 33.24|20.001| 0.027|-0.262| 0.122| 0.613| 0.049| 212.6| 7.1|-161.2| 7.1|  0
5936|19 41 52.87|+40 16 14.99|18.220| 0.007|      |      | 1.355| 0.016|  -0.5| 3.9|   2.6| 3.9| 50
5937|19 41 52.88|+40 12 21.73|16.819| 0.003| 0.194| 0.013| 0.682| 0.005|  -5.4| 4.0|  -1.5| 4.0| 93
5938|19 41 52.89|+40 08 42.35|19.184| 0.013| 0.357| 0.108| 0.991| 0.026|  -3.1| 5.1|   0.8| 5.1| 86
5939|19 41 52.89|+40 15 10.48|19.840| 0.023|      |      | 1.028| 0.052| 256.3| 6.6| -70.6| 6.6|  0
5940|19 41 52.95|+40 10 14.26|19.400| 0.015| 0.322| 0.099| 0.686| 0.027|  -4.0| 5.1| -11.3| 5.1| 58
5941|19 41 52.96|+40 06 17.78|20.435| 0.036|      |      | 1.335| 0.090|  -6.7| 6.6| -15.0| 6.6| 48
5942|19 41 52.96|+40 14 28.98|18.423| 0.008| 0.483| 0.054| 0.740| 0.014|      |    |      |    |
5943|19 41 52.96|+40 17 45.06|18.587| 0.009|-0.050| 0.042| 0.746| 0.015|  -4.5| 5.1|  -3.2| 5.1|100
5944|19 41 52.97|+40 20 08.78|18.762| 0.010| 0.520| 0.084| 0.901| 0.019|  -5.4| 5.1|   1.0| 5.1| 84
5945|19 41 52.98|+40 02 18.51|19.048| 0.012|-0.095| 0.060| 0.715| 0.021|  -1.4| 5.2|  -2.6| 5.2| 94
5946|19 41 52.98|+40 09 25.75|19.710| 0.020|      |      | 1.399| 0.051|  -2.3| 6.4|   0.2| 6.4| 92
5947|19 41 53.04|+40 15 52.60|17.309| 0.004| 0.248| 0.021| 0.753| 0.007|  -3.7| 4.2|  -1.3| 4.2| 95
5948|19 41 53.07|+40 16 24.11|17.631| 0.004| 0.192| 0.023| 0.703| 0.008|  -7.7| 4.6|  11.4| 4.6|  9
5949|19 41 53.07|+40 12 33.60|20.563| 0.040|      |      | 0.898| 0.080|      |    |      |    |
5950|19 41 53.07|+40 09 14.39|15.364| 0.004| 0.077| 0.007| 0.611| 0.004|  -6.6| 3.8|   0.9| 3.8| 69
5951|19 41 53.07|+40 13 25.77|20.177| 0.029|      |      | 1.037| 0.062|      |    |      |    |
5952|19 41 53.10|+40 12 50.66|20.594| 0.042|      |      | 1.602| 0.127|      |    |      |    |
5953|19 41 53.10|+40 06 25.19|17.569| 0.004| 0.380| 0.026| 0.782| 0.007|      |    |      |    |
5954|19 41 53.10|+40 03 18.94|19.526| 0.018|      |      | 0.795| 0.031|  -9.9| 7.2|   5.7| 7.2| 61
5955|19 41 53.12|+40 19 57.39|18.583| 0.009|      |      | 1.406| 0.021|  -6.8| 4.0| -15.5| 4.0| 11
5956|19 41 53.16|+40 12 48.73|20.512| 0.039|      |      | 1.756| 0.131|      |    |      |    |
5957|19 41 53.17|+40 21 06.23|15.415| 0.004| 0.708| 0.012| 0.998| 0.005|  -5.5| 3.8|  -3.6| 3.8| 96
5958|19 41 53.20|+40 20 17.43|17.618| 0.004| 0.462| 0.031| 0.853| 0.008| -14.9| 5.9|   7.1| 5.9| 23
5959|19 41 53.20|+40 10 39.85|18.914| 0.011| 0.542| 0.108| 1.111| 0.023|  -6.3| 4.5|   4.9| 4.5| 45
5960|19 41 53.21|+40 10 20.42|20.145| 0.028|      |      | 1.046| 0.060| -13.1| 8.1|  20.6| 8.1| 11
5961|19 41 53.23|+40 20 02.56|18.673| 0.009| 0.571| 0.078| 0.841| 0.017|  -2.9| 5.1|  -1.2| 5.1| 95
5962|19 41 53.25|+40 16 37.73|19.279| 0.015|      |      | 1.066| 0.031|  -3.1| 8.1|  -0.6| 8.1| 97
5963|19 41 53.27|+40 11 44.98|20.299| 0.031|      |      | 0.895| 0.063|      |    |      |    |
5964|19 41 53.28|+40 04 25.82|18.969| 0.011| 0.009| 0.061| 0.743| 0.020|  -4.5| 5.1|   1.3| 5.1| 83
5965|19 41 53.29|+40 00 52.81|19.223| 0.014|-0.006| 0.082| 0.810| 0.024|  -2.1| 5.1|  -4.8| 5.1| 95
5966|19 41 53.30|+40 05 48.30|19.081| 0.012|      |      | 1.206| 0.027|  -2.1| 5.1|  -3.0| 5.1| 97
5967|19 41 53.35|+40 19 11.15|17.951| 0.006| 0.184| 0.030| 0.687| 0.010|   1.9| 5.1|  -4.0| 5.1| 74
5968|19 41 53.37|+40 06 17.90|20.396| 0.036|      |      | 1.559| 0.100|  -6.7| 6.6| -15.0| 6.6| 48
5969|19 41 53.42|+40 09 04.88|17.136| 0.003| 0.214| 0.017| 0.754| 0.006|   2.5| 4.0|  -5.2| 4.0| 52
5970|19 41 53.44|+40 16 15.22|18.430| 0.008| 0.708| 0.123| 1.507| 0.021| -10.9| 5.3|   6.5| 5.3| 32
5971|19 41 53.47|+40 06 01.09|19.348| 0.015|      |      | 1.273| 0.034| -15.7| 5.1|  -3.3| 5.1| 31
5972|19 41 53.48|+40 10 33.84|19.676| 0.019|      |      | 1.236| 0.045|  -9.5| 6.5|  -0.5| 6.5| 82
5973|19 41 53.48|+40 02 40.66|19.332| 0.015| 0.232| 0.093| 0.657| 0.025| -10.2| 5.9|  -3.2| 5.9| 78
5974|19 41 53.51|+40 08 35.17|20.124| 0.027|      |      | 0.842| 0.052|  -7.0| 8.6|  -7.8| 8.6| 92
5975|19 41 53.52|+40 12 16.69|18.316| 0.007|      |      | 1.191| 0.015|  -1.1| 4.2|  -1.4| 4.2| 86
5976|19 41 53.56|+40 17 15.02|17.359| 0.004| 0.428| 0.024| 0.837| 0.007|  -2.3| 4.0|  -2.2| 4.0| 94
5977|19 41 53.56|+40 06 24.38|20.545| 0.040|      |      | 0.772| 0.073|   3.3| 7.3|  -1.4| 7.3| 79
5978|19 41 53.58|+40 11 02.61|18.109| 0.006| 1.019| 0.074| 1.072| 0.012|  -9.1| 4.2| -11.0| 4.2| 34
5979|19 41 53.59|+40 16 11.72|20.436| 0.040|      |      | 1.374| 0.106| -10.9| 5.3|   6.5| 5.3| 32
5980|19 41 53.62|+40 14 43.12|15.492| 0.004| 0.394| 0.010| 0.784| 0.005|  -4.1| 3.8|  -0.4| 3.8| 88
5981|19 41 53.63|+40 10 11.77|16.708| 0.002| 0.183| 0.012| 0.701| 0.004|   2.4| 4.0|  -3.7| 4.0| 56
5982|19 41 53.63|+40 03 57.34|19.557| 0.018|      |      | 0.863| 0.033|  -5.2| 5.1|  -0.4| 5.1| 92
5983|19 41 53.63|+40 03 40.11|20.438| 0.038|      |      | 1.623| 0.107|      |    |      |    |
5984|19 41 53.64|+40 07 55.59|18.602| 0.009| 0.816| 0.102| 1.104| 0.018|  -3.0| 5.1|  -2.5| 5.1| 99
5985|19 41 53.68|+40 05 55.28|18.999| 0.011| 0.431| 0.072| 0.588| 0.019|  -2.7| 5.1|  -1.8| 5.1| 97
5986|19 41 53.70|+40 13 52.78|19.001| 0.012|      |      | 0.899| 0.023|  -4.1| 6.4|   0.0| 6.4| 94
5987|19 41 53.71|+40 11 52.49|19.903| 0.023|      |      | 1.172| 0.052|  -3.1| 6.6| -11.0| 6.6| 74
5988|19 41 53.74|+40 10 44.00|19.288| 0.014| 0.214| 0.092| 0.826| 0.026|  -4.2| 7.2|   9.3| 7.2| 51
5989|19 41 53.80|+40 02 22.50|20.627| 0.046|      |      | 1.044| 0.090|      |    |      |    |
5990|19 41 53.83|+40 19 32.11|19.621| 0.020|      |      | 1.236| 0.045| -10.7| 6.6|   4.4| 6.6| 58
5991|19 41 53.83|+40 20 16.59|18.716| 0.010| 0.446| 0.067| 0.704| 0.017|  26.5| 6.9|  10.6| 6.9|  1
5992|19 41 53.84|+40 08 13.32|19.648| 0.019|      |      | 0.596| 0.031|   5.4| 7.2| -15.2| 7.2| 37
5993|19 41 53.85|+40 02 16.38|19.890| 0.024|      |      | 0.831| 0.043|      |    |      |    |
5994|19 41 53.88|+40 01 01.60|17.093| 0.003| 0.566| 0.023| 0.896| 0.006|  -5.8| 3.9|  -2.0| 3.9| 93
5995|19 41 53.89|+40 16 51.56|13.337| 0.001| 1.556| 0.007| 1.523| 0.002|  -3.7| 4.7|  -5.3| 4.7| 96
5996|19 41 53.96|+40 03 11.39|20.009| 0.026|      |      | 0.919| 0.049|  -7.4| 7.2|   0.1| 7.2| 91
5997|19 41 53.96|+40 09 24.41|19.997| 0.025|      |      | 1.511| 0.070| -16.0| 5.8| -20.9| 5.8|  5
5998|19 41 53.96|+40 01 53.94|18.596| 0.009| 0.133| 0.052| 0.794| 0.015|  -9.7| 5.1|   6.4| 5.1| 34
5999|19 41 53.96|+40 18 05.91|19.010| 0.012| 0.049| 0.061| 0.701| 0.021|  -9.9| 5.1|  -4.6| 5.1| 73
6000|19 41 53.97|+40 16 39.32|20.402| 0.037|      |      | 1.097| 0.082|      |    |      |    |
6001|19 41 54.03|+40 09 31.43|18.716| 0.009| 0.413| 0.069| 0.894| 0.018|  -9.0| 5.1|  -1.7| 5.1| 79
6002|19 41 54.04|+40 13 43.16|20.942| 0.058|      |      | 1.603| 0.178|      |    |      |    |
6003|19 41 54.05|+40 09 50.31|19.997| 0.024|      |      | 0.698| 0.044|      |    |      |    |
6004|19 41 54.09|+40 07 32.43|18.866| 0.010| 0.134| 0.052| 0.594| 0.017|  -4.4| 5.1|  -8.5| 5.1| 79
6005|19 41 54.12|+40 08 27.76|20.649| 0.043|      |      | 0.933| 0.088|      |    |      |    |
6006|19 41 54.12|+40 02 39.30|15.613| 0.004| 1.434| 0.027| 1.432| 0.006|   0.3| 3.8|  -2.2| 3.8| 24
6007|19 41 54.14|+40 13 48.64|18.029| 0.006| 0.343| 0.036| 0.743| 0.010|  -2.0| 4.7|  -3.6| 4.7| 96
6008|19 41 54.14|+40 06 30.97|19.312| 0.014|      |      | 0.989| 0.029|   3.0| 5.1|  -2.3| 5.1| 65
6009|19 41 54.14|+40 03 59.90|19.052| 0.012|      |      | 1.335| 0.028|  11.5| 4.5|  -1.1| 4.5|  7
6010|19 41 54.15|+40 11 24.97|17.076| 0.003| 0.225| 0.017| 0.775| 0.005|  -4.5| 4.0|   1.6| 4.0| 71
6011|19 41 54.15|+40 11 59.50|17.065| 0.003| 0.170| 0.015| 0.722| 0.005|  -2.3| 4.2|   2.1| 4.2| 67
6012|19 41 54.21|+40 15 03.39|15.696| 0.004|-0.013| 0.009| 0.637| 0.006|      |    |      |    |
6013|19 41 54.21|+40 17 02.98|16.934| 0.003| 0.959| 0.031| 1.152| 0.006|  -6.5| 3.8|  -3.7| 3.8| 41
6014|19 41 54.25|+40 01 50.42|18.268| 0.007| 0.316| 0.044| 0.778| 0.012|   1.0| 4.4|  -4.2| 4.4| 74
6015|19 41 54.25|+40 07 16.22|16.365| 0.002| 0.831| 0.018| 1.147| 0.004|  -4.2| 3.8|  -1.2| 3.8| 43
6016|19 41 54.26|+40 04 46.74|17.460| 0.004| 0.165| 0.020| 0.729| 0.007| -15.5| 4.0|  -6.0| 4.0| 14
6017|19 41 54.27|+40 02 52.47|18.453| 0.008|-0.892| 0.030| 0.647| 0.013|  -1.3| 5.1|  -1.2| 5.1| 90
6018|19 41 54.28|+40 13 27.26|16.449| 0.002| 0.140| 0.010| 0.671| 0.004|  -5.9| 5.2|  -8.3| 5.2| 79
6019|19 41 54.32|+40 18 57.39|18.524| 0.008| 0.661| 0.078| 0.925| 0.016|  -6.9| 4.6|  -1.6| 4.6| 89
6020|19 41 54.32|+40 09 27.75|19.775| 0.021|      |      | 1.071| 0.044|   1.6| 5.1|  -3.0| 5.1| 76
6021|19 41 54.34|+40 02 09.89|13.450| 0.001| 0.846| 0.004| 1.108| 0.002|  -7.1| 3.8|  -2.4| 3.8| 85
6022|19 41 54.35|+40 18 44.41|20.165| 0.030|-0.525| 0.135| 0.903| 0.059|      |    |      |    |
6023|19 41 54.36|+40 16 09.58|20.605| 0.045|      |      | 1.586| 0.141|      |    |      |    |
6024|19 41 54.37|+40 20 10.46|20.340| 0.038|      |      | 1.513| 0.100|      |    |      |    |
6025|19 41 54.38|+40 16 37.98|19.433| 0.016| 0.064| 0.086| 0.625| 0.029|      |    |      |    |
6026|19 41 54.42|+40 07 36.30|18.267| 0.007| 0.064| 0.032| 0.627| 0.011|  -0.4| 5.1|   1.3| 5.1| 75
6027|19 41 54.43|+40 18 25.70|19.451| 0.017|      |      | 0.977| 0.033|   0.7| 6.6|   4.8| 6.6| 64
6028|19 41 54.44|+40 03 31.27|17.144| 0.003| 0.186| 0.018| 0.869| 0.006| -22.2| 4.0|  10.0| 4.0|  0
6029|19 41 54.47|+40 20 53.32|14.709| 0.003|-0.033| 0.004| 0.465| 0.003|  18.6| 3.9| -21.5| 3.9|  0
6030|19 41 54.49|+40 10 18.27|17.395| 0.004| 0.611| 0.029| 0.941| 0.007|  -3.0| 4.0|  -1.0| 4.0| 92
6031|19 41 54.50|+40 13 18.76|18.372| 0.007| 0.702| 0.070| 0.994| 0.014|  -0.7| 4.5| -11.4| 4.5| 43
6032|19 41 54.53|+40 09 57.63|20.294| 0.031|      |      | 0.831| 0.060|      |    |      |    |
6033|19 41 54.53|+40 12 09.88|19.396| 0.015| 0.013| 0.089| 0.842| 0.029|  -2.5| 5.9|  -4.7| 5.9| 97
6034|19 41 54.55|+40 09 29.89|18.579| 0.008| 0.104| 0.046| 0.775| 0.015|   1.6| 5.1|  -3.0| 5.1| 76
6035|19 41 54.57|+40 12 16.68|17.003| 0.003| 0.203| 0.015| 0.745| 0.005|   1.2| 5.6|  -6.9| 5.6| 75
6036|19 41 54.57|+40 17 51.47|17.701| 0.005| 0.862| 0.048| 1.038| 0.009| -11.1| 4.2|  -0.6| 4.2| 48
6037|19 41 54.59|+40 06 01.26|19.498| 0.017|      |      | 1.097| 0.035|  -2.8| 6.4|   2.4| 6.4| 83
6038|19 41 54.61|+40 10 03.48|19.186| 0.013|      |      | 0.930| 0.026|  -3.9| 6.6|   1.0| 6.6| 91
6039|19 41 54.62|+40 12 35.33|15.115| 0.003| 0.836| 0.012| 1.189| 0.004|  -5.9| 3.8|  -2.9| 3.8| 44
6040|19 41 54.62|+40 01 28.32|13.427| 0.001| 0.587| 0.004| 0.982| 0.002|  -9.8| 3.8|   1.0| 3.8| 45
6041|19 41 54.67|+40 18 06.79|19.554| 0.018|      |      | 1.091| 0.038| -15.7| 7.3|  -1.0| 7.3| 55
6042|19 41 54.69|+40 18 30.31|20.190| 0.032|      |      | 1.259| 0.073|      |    |      |    |
6043|19 41 54.72|+40 04 46.07|19.577| 0.018|      |      | 0.900| 0.035| -50.5| 7.3| -76.1| 7.3|  0
6044|19 41 54.72|+40 08 02.30|18.652| 0.009| 0.164| 0.055| 0.866| 0.016|  -4.0| 5.1|  -0.1| 5.1| 92
6045|19 41 54.74|+40 10 34.92|16.332| 0.002| 0.141| 0.009| 0.688| 0.004|   1.6| 3.9|  -3.2| 3.9| 63
6046|19 41 54.77|+40 04 50.18|18.464| 0.008| 0.347| 0.051| 0.771| 0.014|   7.7| 5.1|  12.5| 5.1|  4
6047|19 41 54.77|+40 03 14.95|20.012| 0.028|      |      | 1.705| 0.078|  -5.9| 5.4|   9.1| 5.4| 30
6048|19 41 54.78|+40 07 28.04|20.751| 0.048|      |      | 1.365| 0.122|  15.4| 7.2|  -4.9| 7.2| 20
6049|19 41 54.78|+40 06 50.73|17.822| 0.005| 0.430| 0.033| 0.805| 0.009|  -6.4| 4.5|  -2.3| 4.5| 93
6050|19 41 54.79|+40 09 47.40|16.986| 0.003| 0.225| 0.015| 0.746| 0.005|  -4.4| 4.1|  -0.7| 4.1| 91
6051|19 41 54.80|+40 12 20.03|19.107| 0.012|      |      | 0.939| 0.024|  42.6| 6.9|  24.5| 6.9|  0
6052|19 41 54.80|+40 03 25.67|17.177| 0.003| 0.248| 0.019| 0.804| 0.006|   2.0| 4.2| -20.7| 4.2|  1
6053|19 41 54.83|+40 00 57.63|17.147| 0.003| 0.533| 0.024| 0.913| 0.006|  -8.2| 4.0|  -4.0| 4.0| 78
6054|19 41 54.86|+40 16 43.74|16.072| 0.002| 0.055| 0.008| 0.712| 0.003|  -1.5| 3.8|   6.6| 3.8| 20
6055|19 41 54.94|+40 16 29.66|18.971| 0.012|-0.241| 0.127| 1.735| 0.036|  -1.7| 5.3|   8.9| 5.3| 30
6056|19 41 54.96|+40 08 09.80|19.847| 0.022|      |      | 1.167| 0.049|  -5.0| 6.6|  -0.1| 6.6| 94
