#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-16T12:04:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60c9e6e321a69a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/150/10&tab:{J/AJ/150/10/table4}&key:source=J/AJ/150/10/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/150/10/table4
#-order=I
#-out=WOCS
#-out=IDG
#-out=P38
#-out=IDM
#-out=IDMc
#-out=IDC
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out.all=2
#-out=r_B-V
#-out=NW
#-out=VC
#VC=VC
#-out=<RV>
#-out=e_<RV>
#-out=s_<RV>
#-out=vsini
#-out=e_vsini
#-out=PRV
#-out=PPM1
#-out=PPM2
#-out=e/i
#-out=Mm
#-out=O
#-out=SB
#-out=RR
#-out=X
#-out=Simbad
#Simbad=Simbad
#-out.all=2
#

#RESOURCE=yCat_51500010
#Name: J/AJ/150/10
#Title: WOCS. LXVI. Radial velocity survey in M35 (Leiner+, 2015)
#Table	J_AJ_150_10_table4:
#Name: J/AJ/150/10/table4
#Title: Radial-velocity summary table
#Column	WOCS	(I6)	[2004/259044] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	IDG	(I6)	[2004/261044]? Identification number from paper XXXVIII (Geller et al. 2010, cat. J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	P38	(I3)	Display the data from Paper XXXVIII (Geller et al. 2009, J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	IDM	(I3)	[14/439]? Identification number from paper XXXIV (Meibom et al. 2009, cat. J/ApJ/695/679) (1) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDMc	(I3)	[4/521]? Identification number from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDC	(I3)	[3/763]? Identification number from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[11.43/16.5] The V-band apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	[0.2/1.36] The (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_B-V	(I2)	[1/2]? Source of the photometry (2) [NULL integer written as an empty string]	[ucd=meta.ref;phot.color;em.opt.B]
#Column	NW	(I2)	[0/53] Number of WIYN 3.5m observations	[ucd=meta.number]
#Column	VC	(A2)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	<RV>	(F7.2)	[-129/301] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F6.2)	[0/370]? Standard deviation of RV observation	[ucd=stat.stdev;spect.dopplerVeloc;stat.mean]
#Column	s_<RV>	(F4.1)	[0.5/2.1] Single-measurement precision in RV ({sigma}_i_)	[ucd=meta.code.qual;instr.precision;spect.dopplerVeloc]
#Column	vsini	(F5.1)	[0/144] Mean projected rotational velocity (3)	[ucd=phys.veloc.rotat;stat.mean]
#Column	e_vsini	(F5.1)	[0/124]? Standard error on vsini (3)	[ucd=stat.error;phys.veloc.rotat;stat.mean]
#Column	PRV	(I2)	[0/96]? Radial velocity membership probability (4) [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM1	(I2)	[0/99]? Proper-motion membership probability from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	PPM2	(I2)	[0/97]? Proper-motion membership probability from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	e/i	(F6.2)	[0/740] Ratio of RV standard deviation to single-measurement RV precision	[ucd=instr.precision;arith.ratio;spect.dopplerVeloc]
#Column	Mm	(A3)	Membership class (BLM, BLN, BM, BN, SM, SN, or U) (G2)	[ucd=src]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SB	(A3)	Single (SB1) or double-lined (SB2) binary (5)	[ucd=meta.code.multip]
#Column	RR	(A2)	"RR" Indicates a Rapid Rotator	[ucd=meta.code]
#Column	X	(A1)	"X" Indicates an X-ray source	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|IDG|P38|IDM|IDMc|IDC|RAJ2000|DEJ2000|Vmag|B-V|r_B-V|NW|VC|<RV>|e_<RV>|s_<RV>|vsini|e_vsini|PRV|PPM1|PPM2|e/i|Mm|O|SB|RR|X|Simbad
 20060| 19060|  1|   |   |   |06 09 37.78|+23 51 38.4|14.60| 0.78| 1| 3|VC| -14.90|  1.35| 0.5| 11.0|  1.0| 0|  |  |  2.63|SN | |   |  | |Simbad
 18060| 18060|  1|   |   |   |06 07 18.66|+24 04 02.9|13.85| 0.61| 2| 3|VC|  22.36|  0.56| 0.5|  0.0|  0.0| 0|  |  |  1.11|SN | |   |  | |Simbad
 25060| 29060|  1|   |   |   |06 08 09.45|+23 53 45.1|14.89| 0.77| 1| 4|VC| -20.16|  1.01| 0.5| 10.0|     | 0|  |  |  2.02|SN | |   |  | |Simbad
 14060| 15060|  1|   |   |   |06 11 13.49|+24 28 44.1|13.56| 0.76| 1| 3|VC|   2.76|  0.26| 0.5| 10.0|     | 0|  |  |  0.52|SN | |   |  | |Simbad
 30060| 43060|  1|   |   |   |06 10 18.44|+23 55 19.5|15.40| 1.06| 1| 3|VC|  19.04|  0.37| 0.5| 10.0|     | 0|  |  |  0.74|SN | |   |  | |Simbad
 16060| 14060|  1|   |   |   |06 10 05.92|+23 53 38.6|13.46| 0.85| 1| 3|VC|  42.19|  0.61| 0.6| 18.1|  2.0| 0|  |  |  1.03|SN | |   |  | |Simbad
 53026| 53026|  1|   |   |   |06 08 51.77|+24 32 46.8|15.85| 0.96| 2|20|VC| -13.63| 61.13| 0.5|  0.0|  0.0| 0|  |  |122.26|BN |O|SB2|  | |Simbad
 29026| 29026|  1|   |327|   |06 09 15.07|+24 32 52.6|14.60| 0.78| 2| 7|VC| -24.36| 32.03| 0.5|  0.0|  0.0| 0|91|  | 64.06|BU | |SB2|  | |Simbad
 53030| 53030|  1|   |   |   |06 10 03.83|+24 13 31.0|16.08| 0.98| 2| 5|VC|  55.25| 20.67| 0.5| 11.3|  1.3| 0|  |  | 40.09|BLN| |SB2|  | |Simbad
 17030| 17030|  1|   |   |264|06 08 38.32|+24 07 24.1|14.25| 0.62| 2| 6|VC|  73.18| 33.01| 0.7| 29.5|  1.1| 0|  |36| 44.98|BLN| |SB2|  | |Simbad
 45038| 45038|  1|   |   |   |06 08 47.70|+24 02 27.0|15.19| 0.84| 2|19|VC|  -2.14| 21.69| 0.5| 10.6|  0.4| 0|  |  | 42.76|BN |O|SB1|  | |Simbad
  9042|  9042|  1|   |   |719|06 10 11.32|+24 05 45.0|13.11| 0.64| 2| 6|VC|  51.36| 23.46| 0.8| 37.0|  0.7| 0|  |57| 28.47|BLN| |SB1|RR| |Simbad
 42042| 42042|  1|   |   |   |06 10 34.54|+24 26 52.1|15.14| 0.86| 1|11|VC|  21.17| 19.43| 0.5| 10.0|     | 0|  |  | 38.86|BN |O|SB1|  | |Simbad
 18044| 19044|  1|   |   |   |06 10 32.26|+24 30 31.9|13.93| 0.76| 1|12|VC|  21.02| 17.52| 0.5| 10.0|     | 0|  |  | 35.04|BN |O|SB1|  | |Simbad
 51046| 52046|  1|168|   |   |06 07 44.33|+24 08 03.6|15.13| 0.77| 2| 3|VC|  -9.54| 96.67| 0.7| 25.0|  0.3|89|  |  |142.16|BLM| |SB2|RR| |Simbad
 16047| 16047|  1|   |   |   |06 10 49.48|+24 23 06.2|13.97| 0.70| 1|18|VC|  -7.17| 22.46| 0.5|  0.0|  0.0| 0|  |  | 44.91|BN |O|SB2|  | |Simbad
 27048| 59048|  1|   |   |   |06 09 42.60|+23 58 05.4|14.48| 0.87| 1| 3|VC|  51.98| 25.80| 0.5|  0.0|  0.0| 0|  |  | 51.60|BLN| |SB2|  | |Simbad
 24049| 25049|  1|   |   |   |06 10 49.51|+24 13 11.7|14.80| 0.80| 1| 7|VC|  37.78| 24.96| 0.5| 10.0|     | 0|  |  | 49.92|BLN| |SB1|  | |Simbad
 19004| 19004|  1|   |   |   |06 09 13.49|+24 21 46.2|16.40| 1.13| 2|10|VC|  20.25|  7.31| 0.5| 10.0|     | 0|  |  | 14.62|BLN| |SB1|  | |Simbad
 20007| 20007|  1|   |   |   |06 09 19.83|+24 21 42.4|15.32| 0.85| 2| 9|VC|  45.09|  4.61| 0.5|  0.0|  0.0| 0|  |  |  9.22|BLN| |SB2|  | |Simbad
 30007| 30007|  1|   |   |   |06 09 07.28|+24 23 44.6|16.10| 0.99| 2| 4|VC|  73.36| 18.58| 0.5| 11.8|  3.6| 0|  |  | 35.61|BLN| |SB2|  | |Simbad
 41013| 41013|  1|262|   |   |06 09 06.39|+24 26 41.8|15.82| 0.96| 2|18|VC|   0.27| 15.81| 0.5| 10.1|  0.1| 0|  |  | 31.62|BN |O|SB1|  | |Simbad
 31013| 31013|  1|   |   |   |06 09 09.27|+24 14 01.6|15.42| 0.98| 2|12|VC|  35.45|  9.71| 0.5| 10.0|     | 0|  |  | 19.42|BLN| |SB1|  | |Simbad
 38017| 39017|  1|   |   |   |06 09 09.26|+24 12 16.1|16.11| 1.03| 2| 3|VC|  39.48|  1.75| 0.5| 10.0|     | 0|  |  |  3.51|SN | |   |  | |Simbad
 44019| 44019|  1|   |   |   |06 09 44.87|+24 16 24.8|16.22| 0.95| 2| 5|VC|  28.48|  2.77| 0.5| 11.0|  1.0| 0|  |  |  5.42|BLN| |SB1|  | |Simbad
 49019| 49019|  1|   |   |   |06 09 24.22|+24 29 06.4|16.40| 0.99| 2| 9|VC|  13.83| 11.60| 0.5| 13.4|  1.2| 0|  |  | 21.45|BLN| |SB1|  | |Simbad
 50019| 50019|  1|   |   |   |06 08 37.08|+24 14 00.9|16.44| 1.18| 2| 4|VC| -54.69| 16.22| 0.5| 10.0|     | 0|  |  | 32.45|BLN| |SB2|  | |Simbad
 30020| 30020|  1|   |159|   |06 08 47.62|+24 12 03.6|14.85| 0.74| 2|13|VC| -27.44|  8.52| 0.5| 10.0|     | 0|31|  | 17.04|BLN| |SB1|  | |Simbad
 21022| 21022|  1|109|128|   |06 08 42.41|+24 29 19.7|14.16| 0.62| 2| 5|VC|   6.23|  1.74| 1.2| 69.5|  2.8| 0|98|  |  1.43|SN | |   |RR| |Simbad
 32023| 32023|  1|   |   |   |06 08 24.37|+24 25 52.3|15.63| 0.89| 2|15|VC|  12.71|  7.40| 0.7| 25.9|  1.0| 0|  |  | 10.72|BLN| |SB2|  | |Simbad
 28025| 28025|  1|   |   |   |06 09 42.29|+24 29 31.9|15.39| 0.91| 2| 5|VC|  23.61|  9.42| 0.6| 16.5|  2.6| 0|  |  | 16.29|BLN| |SB1|  | |Simbad
 46025| 46025|  1|   |   |   |06 08 43.48|+24 09 31.0|16.07| 0.94| 2| 6|VC|  26.56|  3.06| 0.5| 10.0|     | 0|  |  |  6.12|BLN| |SB1|  | |Simbad
 59027| 59027|  1|   |   |   |06 09 31.16|+24 08 24.9|16.02| 1.07| 2|10|VC| -22.71| 13.76| 0.5| 10.6|  0.4| 0|  |  | 27.13|BLN| |SB1|  | |Simbad
 28029| 28029|  1|   |   |   |06 09 05.16|+24 34 40.4|14.56| 0.75| 2| 6|VC|  51.81|  3.38| 0.9| 43.2|  0.7| 0|  |  |  3.76|SN | |   |RR| |Simbad
 28032| 28032|  1|   |   |   |06 10 04.38|+24 29 33.3|14.79| 0.80| 2| 4|VC|  79.47| 15.66| 0.5| 10.0|     | 0|  |  | 31.31|BLN| |SB2|  | |Simbad
 24032| 24032|  1|   |   |   |06 08 46.00|+24 05 15.5|14.51| 0.78| 2| 6|VC|  28.56|  8.50| 0.5| 10.3|  0.3| 0|  |  | 17.00|BLN| |SB1|  | |Simbad
 24033| 24033|  1|   |   |   |06 09 42.59|+24 34 42.0|14.77| 0.78| 2| 5|VC|  30.01|  2.53| 1.2| 65.5|  1.2| 0|  |  |  2.17|SN | |   |RR| |Simbad
 52034| 52034|  1|   |   |   |06 10 14.06|+24 13 43.4|15.56| 0.81| 2| 4|VC|  56.25|  3.73| 0.5| 10.0|     | 0|  |  |  7.45|BLN| |SB1|  | |Simbad
 62034| 62034|  1|   |   |   |06 08 12.17|+24 31 19.4|15.74| 0.97| 2|14|VC|  -1.68|  3.21| 0.6| 19.8|  2.9| 0|  |  |  5.20|BU | |SB1|  | |Simbad
 58034| 58034|  1|   |   |   |06 07 57.59|+24 26 02.2|15.66| 1.12| 2| 5|VC| 101.59|  2.84| 0.5| 10.0|     | 0|  |  |  5.67|BLN| |SB1|  | |Simbad
 66035| 66035|  1|   |   |   |06 09 49.07|+24 06 14.2|15.94| 0.99| 2| 4|VC|  31.24|  7.52| 0.5| 12.8|  1.8| 0|  |  | 14.10|BLN| |SB1|  | |Simbad
 74035| 74035|  1|   |   |   |06 09 03.07|+24 37 37.3|16.16| 1.12| 2| 8|VC|  40.65|  4.45| 0.5| 10.6|  0.6| 0|  |  |  8.78|BLN| |SB1|  | |Simbad
 69035| 69035|  1|   |   |   |06 08 01.08|+24 11 44.6|16.03| 0.92| 2| 5|VC|  28.55|  2.74| 0.5| 10.7|  0.7| 0|  |  |  5.38|BLN| |SB1|  | |Simbad
 40036| 40036|  1|   |   |   |06 08 43.21|+24 03 28.7|15.10| 0.98| 2| 6|VC|  33.69|  2.42| 0.5| 13.2|  2.7| 0|  |  |  4.49|BLN| |SB1|  | |Simbad
 42037| 42037|  1|217|   |   |06 08 11.99|+24 33 56.8|15.26| 0.87| 2| 7|VC|  34.77| 13.96| 0.6| 15.3|  0.3| 0|  |  | 24.77|BLN| |SB1|  | |Simbad
100038| 99038|  1|   |   |   |06 09 15.19|+24 38 53.3|16.46| 0.96| 2| 6|VC|  77.07|  9.09| 0.6| 14.2|  2.2| 0|  |  | 16.51|BLN| |SB1|  | |Simbad
 54038| 52038|  1|   |   |   |06 10 30.16|+24 19 13.7|15.48| 1.03| 1| 6|VC| -28.81|  2.78| 0.5| 10.0|     | 0|  |  |  5.55|BLN| |SB1|  | |Simbad
 78038|102038|  1|   |   |   |06 10 29.35|+24 23 38.2|15.96| 1.24| 1| 7|VC|  15.53|  5.54| 0.6| 20.9|  1.3| 0|  |  |  8.78|BLN| |SB1|  | |Simbad
 63039| 63039|  1|   |   |   |06 10 11.06|+24 32 57.5|15.65| 1.16| 2| 3|VC| -29.65|  1.68| 0.5| 13.9|  2.0| 0|  |  |  3.06|SN | |   |  | |Simbad
 97039| 96039|  1|   |   |   |06 10 22.47|+24 11 46.9|16.28| 0.93| 2|16|VC|  -1.71|  2.62| 0.5| 10.1|  0.1| 0|  |  |  5.25|BLN| |SB1|  | |Simbad
 86039| 86039|  1|   |   |   |06 09 41.46|+24 38 15.2|16.08| 0.97| 2|12|VC| -16.69|  7.28| 0.5| 10.1|  0.1| 0|  |  | 14.56|BU | |SB1|  | |Simbad
 27040| 27040|  1|   |   |   |06 10 31.35|+24 16 25.2|14.67| 0.75| 1| 6|VC|  30.75|  8.17| 0.5| 10.0|     | 0|  |  | 16.35|BLN| |SB1|  | |Simbad
 32040| 32040|  1|   |   |   |06 10 13.34|+24 07 51.3|14.94| 0.73| 2| 6|VC|  23.28|  3.62| 1.5| 91.4|  3.2| 0|  |  |  2.45|SN | |   |RR| |Simbad
 26040| 28040|  1|   |   |   |06 08 32.04|+24 02 34.9|14.66| 0.70| 2| 9|VC| -13.98| 11.54| 0.6| 16.2|  8.1| 0|  |  | 20.10|BU | |SB2|  | |Simbad
 31040| 31040|  1|   |   |   |06 10 04.66|+24 35 37.6|14.92| 0.89| 2| 3|VC|  64.72| 15.40| 0.5| 10.0|     | 0|  |  | 30.80|BLN| |SB2|  | |Simbad
 40041| 37041|  1|   |   |   |06 09 18.43|+24 40 35.8|14.69| 0.76| 1| 7|VC|  18.94|  2.95| 0.8| 34.6|  0.6| 0|  |  |  3.71|SN | |   |RR| |Simbad
 86041| 88041|  1|   |   |   |06 08 09.47|+24 35 56.2|16.22| 1.04| 2| 4|VC|  41.15|  1.86| 0.5| 10.0|     | 0|  |  |  3.72|SN | |   |  | |Simbad
 97041| 96041|  1|   |   |   |06 10 28.65|+24 11 52.0|16.42| 0.96| 1| 5|VC|  51.67|  2.73| 0.5| 11.8|  1.1| 0|  |  |  5.23|BLN| |SB1|  | |Simbad
 26041| 27041|  1|   |   | 36|06 07 39.02|+24 16 59.5|14.05| 0.66| 2| 4|VC|  54.22| 13.18| 0.6| 16.3|  7.6| 0|  |87| 22.90|BLN| |SB2|  | |Simbad
 68041| 60041|  1|   |   |   |06 08 46.81|+24 40 24.6|15.48| 0.78| 1| 5|VC|  23.28|  2.14| 0.5| 10.0|     | 0|  |  |  4.29|BLN| |SB1|  | |Simbad
 22042| 21042|  1|   |   |153|06 08 15.72|+24 03 33.6|14.11| 0.88| 2| 7|VC|  10.41|  6.41| 0.5| 14.0|  5.8| 0|  |67| 11.69|BLN| |SB2|  | |Simbad
 87042| 86042|  1|   |   |   |06 10 35.00|+24 26 14.8|16.17| 1.23| 1| 7|VC|  69.42|  8.62| 0.5| 10.0|     | 0|  |  | 17.24|BLN| |SB1|  | |Simbad
 64042| 64042|  1|   |   |   |06 10 30.89|+24 28 53.3|15.72| 0.95| 1| 3|VC|  97.00|  2.49| 0.5| 11.9|  1.9| 0|  |  |  4.76|BLN| |SB1|  | |Simbad
 28043| 28043|  1|   |   |   |06 08 41.46|+24 00 09.0|14.98| 1.09| 2| 9|VC|  24.30|  4.49| 0.5| 10.0|     | 0|  |  |  8.98|BLN| |SB1|  | |Simbad
 48044| 47044|  1|   |   |   |06 07 40.78|+24 11 55.1|15.19| 0.87| 2|19|VC|  -1.06|  7.92| 0.5| 13.4|  0.7| 0|  |  | 14.64|BU | |SB1|  | |Simbad
156045|125045|  1|   |   |   |06 09 20.58|+24 42 25.3|16.44| 1.09| 1| 4|VC| -52.88|  1.87| 0.5| 12.9|  1.7| 0|  |  |  3.50|SN | |   |  | |Simbad
 40046| 39046|  1|   |   |   |06 10 15.44|+24 04 08.0|14.91| 0.68| 2| 4|VC|  22.30|  6.89| 1.5| 89.8|  3.2| 0|  |  |  4.73|BLN| |SB1|RR| |Simbad
125046|112046|  1|   |   |   |06 09 31.31|+24 42 22.5|16.34| 1.03| 1| 6|VC|  50.00|  3.34| 0.6| 14.4|  2.7| 0|  |  |  6.04|BLN| |SB1|  | |Simbad
 18046| 16046|  1|   |   |   |06 10 25.34|+24 06 08.5|14.29| 0.66| 2| 6|VC|  14.26|  2.04| 1.2| 64.4|  3.0| 0|  |  |  1.77|SN | |   |RR| |Simbad
110046| 98046|  1|   |   |   |06 08 48.33|+23 58 04.5|15.80| 0.92| 1| 6|VC|  21.55|  2.07| 0.7| 29.9|  1.2| 0|  |  |  2.80|SN | |   |RR| |Simbad
 37046| 36046|  1|   |   |   |06 07 53.68|+24 04 54.0|14.82| 0.82| 2| 7|VC|  19.95|  2.19| 0.7| 28.2|  2.5| 0|  |  |  3.05|SN | |   |RR| |Simbad
 26047| 26047|  1|   |   |   |06 10 48.48|+24 19 57.5|14.70| 0.84| 1| 8|VC|  20.30|  7.06| 0.5| 10.0|     | 0|  |  | 14.12|BLN| |SB1|  | |Simbad
 19048| 17048|  1|   |   |   |06 08 25.09|+24 42 21.7|13.94| 0.60| 1| 4|VC|  24.91|  3.78| 1.3| 75.9|  5.4| 0|  |  |  2.93|SN | |   |RR| |Simbad
 25048| 24048|  1|   |   |   |06 10 43.92|+24 29 59.5|14.37| 0.86| 1| 6|VC|   8.64|  3.35| 0.8| 32.5|  0.2| 0|  |  |  4.36|BLN| |SB1|RR| |Simbad
 88048| 84048|  1|   |   |   |06 08 47.02|+23 56 58.5|15.73| 1.06| 1|11|VC|  44.26|  6.58| 0.5| 12.9|  0.6| 0|  |  | 12.31|BLN| |SB1|  | |Simbad
 12049| 12049|  1|   |   |   |06 09 22.23|+24 44 20.8|13.53| 0.61| 1| 5|VC|  13.80| 18.95| 0.6| 20.2| 18.0| 0|  |  | 30.45|BLN| |SB2|  | |Simbad
 69050| 65050|  1|   |   |   |06 07 32.84|+24 08 47.4|15.26| 0.77| 2| 8|VC|  45.81| 15.19| 0.5| 14.0|  4.8| 0|  |  | 27.72|BLN| |SB2|  | |Simbad
 29051| 33051|  1|   |   |   |06 10 31.02|+24 36 56.8|14.72| 0.85| 1| 3|VC|  46.96|  2.09| 1.6|103.0|  4.0| 0|  |  |  1.30|SN | |   |RR| |Simbad
 58051| 59051|  1|   |   |   |06 07 33.63|+24 07 14.2|15.32| 0.89| 2| 6|VC|  27.65|  2.81| 1.2| 71.9|  1.8| 0|  |  |  2.26|SN | |   |RR| |Simbad
 20051| 20051|  1|   |   |   |06 09 33.34|+23 55 59.7|13.91| 0.90| 1|10|VC|   8.02|  3.42| 0.6| 18.1|  1.4| 0|  |  |  5.72|BLN| |SB2|  | |Simbad
 38051| 41051|  1|   |   |   |06 07 28.02|+24 09 23.1|14.82| 0.90| 2|32|VC| -10.05|  7.70| 0.6| 19.4|  1.0|75|  |  | 12.56|BLM| |SB1|  | |Simbad
 10051| 15051|  1|   |   |   |06 10 03.09|+24 42 32.4|13.52| 0.72| 1|14|VC|   6.93| 14.02| 0.5| 10.3|  0.3| 0|  |  | 28.04|BU | |SB1|  | |Simbad
 47052| 54052|  1|   |   |   |06 10 56.03|+24 13 31.8|15.20| 0.81| 1| 5|VC|  45.68|  1.61| 0.5| 11.2|  0.8| 0|  |  |  3.14|SN | |   |  | |Simbad
 94052| 87052|  1|   |   |   |06 10 45.43|+24 33 25.7|16.42| 1.06| 1| 6|VC|  15.76|  1.81| 0.6| 16.9|  1.9| 0|  |  |  3.10|SN | |   |  | |Simbad
 20052| 21052|  1|   |   |   |06 08 35.60|+24 45 22.3|14.51| 0.69| 1| 9|VC|  27.30| 15.33| 0.7| 28.8|  0.8| 0|  |  | 21.13|BLN| |SB1|RR| |Simbad
 27052| 26052|  1|   |   |   |06 08 11.28|+23 57 54.9|14.75| 0.69| 1| 4|VC|  44.58|  5.08| 0.5| 14.1|  1.9| 0|  |  |  9.25|BLN| |SB1|  | |Simbad
 40053| 38053|  1|   |   |   |06 07 47.96|+24 39 14.5|14.68| 0.74| 2|18|VC| -16.95|  2.98| 0.9| 40.7|  0.9| 0|  |  |  3.43|SN | |   |RR| |Simbad
  9053| 25053|  1|   |   |   |06 07 11.92|+24 22 34.9|13.48| 0.67| 1| 5|VC|  19.55|  1.93| 0.5| 10.0|     | 0|  |  |  3.86|SN | |   |  | |Simbad
 51055| 48055|  1|   |   |   |06 11 05.95|+24 18 22.6|14.81| 1.01| 1| 5|VC|  36.39|  3.05| 0.5| 10.0|     | 0|  |  |  6.09|BLN| |SB1|  | |Simbad
 21055| 22055|  1|   |   |   |06 09 32.51|+24 47 19.6|14.11| 0.71| 1| 3|VC|  34.35|  3.91| 1.7|106.4|  2.6| 0|  |  |  2.36|SN | |   |RR| |Simbad
 71055| 62055|  1|   |   |   |06 09 12.22|+23 53 01.8|14.97| 0.96| 1| 7|VC|  51.39| 13.43| 0.5| 12.9|  0.5| 0|  |  | 25.11|BLN| |SB1|  | |Simbad
 56057| 55057|  1|   |   |   |06 07 04.38|+24 18 03.3|15.39| 0.89| 1| 7|VC|  34.60|  9.61| 0.5| 11.5|  3.9| 0|  |  | 18.55|BLN| |SB2|  | |Simbad
 40057| 39057|  1|   |   |   |06 08 42.61|+23 52 46.8|14.93| 0.79| 1| 5|VC|  32.20|  2.60| 0.5| 10.0|     | 0|  |  |  5.20|BLN| |SB1|  | |Simbad
 14057| 13057|  1|   |   |   |06 10 58.95|+24 07 51.2|13.39| 0.75| 1| 6|VC|  44.53|  2.53| 0.5| 10.5|  0.3| 0|  |  |  4.99|BLN| |SB1|  | |Simbad
 21057| 22057|  1|   |   |   |06 07 07.43|+24 28 18.7|13.93| 0.71| 1| 5|VC|  41.84|  6.51| 0.7| 22.7|  0.9| 0|  |  |  9.98|BLN| |SB1|RR| |Simbad
 45059| 38059|  1|   |   |   |06 08 02.43|+23 54 59.3|14.86| 0.84| 1|12|VC| -19.84|  5.42| 0.5| 10.0|     | 0|  |  | 10.83|BLN| |SB1|  | |Simbad
 82045| 67045|  1|   |   |   |06 09 07.19|+23 58 21.2|15.66| 0.85| 1| 2|VC|  87.45|  2.65| 0.5| 10.1|  0.1|  |  |  |  5.30|U  | |   |  | |Simbad
 81043| 79043|  1|   |   |   |06 10 16.01|+24 06 15.2|16.30| 1.26| 2| 1|VC|  51.62|      | 0.5| 10.0|     |  |  |  |  0.00|U  | |   |  | |Simbad
113046|110046|  1|   |   |   |06 10 17.91|+24 04 37.1|16.19| 0.96| 2| 2|VC|  56.48|  0.78| 0.5| 10.0|     |  |  |  |  1.55|U  | |   |  | |Simbad
 13057| 23057|  1|   |   |   |06 10 09.04|+23 56 10.0|13.75| 0.83| 1|14|VC| -15.57| 57.08| 0.6| 17.2|  4.1| 0|  |  | 97.33|BN |O|SB2|  | |Simbad
 91048|104048|  1|   |   |   |06 10 49.11|+24 16 22.2|16.35| 0.99| 1|20|VC|   7.93| 23.24| 0.5| 10.0|     | 0|  |  | 46.47|BN |O|SB1|  | |Simbad
  5003|  5003|  1|   |   |   |06 09 02.24|+24 20 33.9|14.99| 1.10| 2| 3|VC|  38.62|  0.22| 0.5| 13.3|  0.2| 0|  |  |  0.41|SN | |   |  | |Simbad
 13004| 13004|  1|   |   |   |06 09 02.68|+24 19 07.2|15.32| 0.94| 2| 3|VC| -32.66|  0.17| 0.5| 10.0|     | 0|  |  |  0.35|SN | |   |  | |Simbad
 11004| 11004|  1|   |   |   |06 08 59.09|+24 20 59.8|15.09| 0.74| 2| 3|VC|  18.08|  0.90| 1.4| 86.8|  4.5| 0|  |  |  0.63|SN | |   |RR| |Simbad
 14006| 14006|  1|   |   |   |06 09 02.16|+24 18 02.2|15.24| 0.97| 2| 3|VC|  12.63|  0.80| 0.5| 10.2|  0.1| 0|  |  |  1.60|SN | |   |  | |Simbad
 32007| 32007|  1|   |   |   |06 09 19.40|+24 18 54.9|16.22| 1.01| 2| 4|VC|  34.42|  0.50| 0.5| 10.0|     | 0|  |  |  1.01|SN | |   |  | |Simbad
 17008| 17008|  1|   |   |   |06 08 54.81|+24 22 50.6|15.80| 0.98| 2| 4|VC| -29.51|  0.35| 0.5| 10.0|     | 0|  |  |  0.70|SN | |   |  | |Simbad
 13008| 13008|  1|   |   |   |06 08 53.85|+24 22 53.6|14.88| 0.73| 2| 3|VC|  49.80|  0.36| 0.5| 10.0|     | 0|  |  |  0.72|SN | |   |  | |Simbad
 30009| 30009|  1|   |   |   |06 08 59.93|+24 16 50.8|15.35| 1.17| 2| 3|VC| 155.88|  1.10| 0.5| 10.0|     | 0|  |  |  2.20|SN | |   |  | |Simbad
 37010| 37010|  1|   |   |   |06 08 57.42|+24 16 14.0|16.30| 1.14| 2| 4|VC| -21.81|  0.45| 0.5| 10.0|     | 0|  |  |  0.91|SN | |   |  | |Simbad
