#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:31:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defdd45bd11	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/148/38/table2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table2}&key:source=J/AJ/148/38/table2&HTTPPRM:&&-ref=VIZ5defdd45bd11&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=WOCS&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=V-I&-out=NW&-out=NC&-out=<RV>&-out=e_<RV>&-out=e/i&-out=PRV&-out=PPM&-out=Mm&-out=RV&-out=e_RV&-out=SB&-out=O&-out=XXIV&-out=VC&-ignore=VC=*&VC=VC&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/148/38/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/148/38/table2
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=V-I
#-out=NW
#-out=NC
#-out=<RV>
#-out=e_<RV>
#-out=e/i
#-out=PRV
#-out=PPM
#-out=Mm
#-out=RV
#-out=e_RV
#-out=SB
#-out=O
#-out=XXIV
#-out=VC
#-out=Simbad
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table2:
#Name: J/AJ/148/38/table2
#Title: Radial velocity summary table
#Column	WOCS	(I6)	[1001/260043] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? The V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	V-I	(F5.2)	? The (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	NW	(I2)	[0/62] Number of WIYN 3.5m observations	[ucd=meta.number;obs]
#Column	NC	(I2)	[0/32] Number of CfA observations	[ucd=meta.number;obs]
#Column	<RV>	(F7.2)	[-241.841/69.628] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F5.2)	Standard error in <RV>	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	e/i	(F6.2)	External error divided by internal error	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	PRV	(I2)	[0/94]? Radial velocity membership probability [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM	(I2)	[0/99]? Proper-motion membership probability [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	Mm	(A3)	Membership class (1)	[ucd=meta.code.class]
#Column	RV	(F7.2)	? Center-of-mass radial velocity ({gamma}_RV_)	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	? Error in gamma	[ucd=stat.error;phys.veloc]
#Column	SB	(A3)	Single, double- or triple-lined binary (SB1, SB2 or SB3)	[ucd=meta.note]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	XXIV	(I3)	Display the data from Paper XXIV (Hole et al. 2009, J/AJ/138/159) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	VC	(A2)	Show the radial Velocity Curves	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|RAJ2000|DEJ2000|Vmag|V-I|NW|NC|<RV>|e_<RV>|e/i|PRV|PPM|Mm|RV|e_RV|SB|O|XXIV|VC|Simbad
 59009|19 41 28.16|+40 07 51.4|16.32| 0.86| 3| 0|  34.02| 0.61|  2.16| 0| 0|SN |       |     |   | |  1|VC|Simbad
 59010|19 41 06.44|+40 07 47.9|16.05| 0.92| 8| 0| -11.60| 0.37|  2.43| 0| 0|SN |       |     |   | |  1|VC|Simbad
 59012|19 41 17.93|+40 06 10.7|16.37| 0.79| 3| 0|   2.91| 0.70|  2.49|94|98|SM |       |     |   | |  1|VC|Simbad
 59013|19 40 54.43|+40 16 32.3|16.30| 0.87| 2| 0| -16.73| 0.57|  1.41|  | 0|   |       |     |   | |  1|VC|Simbad
 59015|19 40 43.27|+40 08 56.7|16.28| 0.90| 4| 0| -21.61| 0.37|  1.61| 0| 0|SN |       |     |   | |  1|VC|Simbad
 59019|19 41 18.35|+40 21 01.7|16.31| 0.79| 3| 0|   1.51| 0.24|  0.86|91|98|SM |       |     |   | |  1|VC|Simbad
 59021|19 40 42.31|+40 04 14.8|16.25| 1.00|13| 0|   4.27| 0.20|  1.74|77|46|SM |       |     |   | |  0|VC|Simbad
 59023|19 41 30.32|+40 22 31.4|15.97| 0.79| 3| 0|   0.54| 0.37|  1.32|72|17|SM |       |     |   | |  1|VC|Simbad
 59028|19 40 06.42|+40 09 32.4|15.87| 0.86| 3| 0| -27.99| 0.57|  2.02| 0|13|SN |       |     |   | |  0|VC|Simbad
 59032|19 42 10.98|+40 24 00.7|15.69| 0.83| 4| 0|  22.67| 0.38|  1.65| 0|60|SN |       |     |   | |  0|VC|Simbad
 59033|19 41 04.32|+39 55 35.0|15.82| 0.77| 3| 0|  10.46| 3.86| 13.66| 0|47|BLN|       |     |   | |  0|VC|Simbad
 59043|19 39 27.15|+40 15 47.9|15.80| 0.75| 1| 0| -31.82| 0.40| -1.00|  |40|   |       |     |   | |  0|VC|Simbad
 59044|19 39 23.78|+40 11 07.0|15.51| 0.76| 3| 0| -10.94| 0.55|  1.94| 0| 4|SN |       |     |   | |  0|VC|Simbad
 59045|19 40 05.17|+40 29 29.8|15.67| 0.84| 3| 0|   4.21| 0.26|  0.93|79|21|SM |       |     |   | |  0|VC|Simbad
 59049|19 41 07.86|+40 35 55.0|15.28| 1.13| 3| 0| -25.16| 0.18|  0.63| 0|  |SN |       |     |   | |  0|VC|Simbad
 59051|19 43 18.79|+40 02 17.9|15.23| 0.83| 1| 0|  10.11| 0.40| -1.00|  | 1|   |       |     |   | |  0|VC|Simbad
 59052|19 42 39.65|+39 51 29.1|14.81| 0.94| 8| 0| -74.50| 2.13| 14.09| 0|  |BLN|       |     |   | |  0|VC|Simbad
 59053|19 41 59.44|+39 46 32.5|15.35| 0.83| 3| 0| -13.83| 0.13|  0.45| 0|  |SN |       |     |   | |  0|VC|Simbad
 59054|19 39 08.02|+40 22 32.5|15.42| 0.81| 3| 0|   1.36| 0.37|  1.29|90|  |SM |       |     |   | |  0|VC|Simbad
 59055|19 42 38.90|+39 49 25.1|15.38| 0.94| 3| 0| -98.00| 0.53|  1.88| 0|  |SN |       |     |   | |  0|VC|Simbad
 60004|19 41 14.49|+40 13 21.5|15.99| 0.76| 3| 0|   1.57| 0.33|  1.18|92|98|SM |       |     |   | |  0|VC|Simbad
 60005|19 41 10.14|+40 09 45.3|16.19| 0.78| 3| 0|   1.91| 0.38|  1.36|93|99|SM |       |     |   | |  0|VC|Simbad
 60006|19 41 27.70|+40 13 43.4|16.11| 0.83|18| 0|   4.69| 6.49| 66.95|93|99|BM |   1.93| 0.26|SB1|O|  1|VC|Simbad
 60008|19 41 33.76|+40 09 34.2|16.20| 0.87| 3| 0|   1.65| 0.20|  0.72|92|99|SM |       |     |   | |  1|VC|Simbad
 60009|19 41 06.96|+40 15 27.9|16.47| 0.82| 5| 0| -86.76| 2.31| 11.56| 0| 0|BLN|       |     |   | |  1|VC|Simbad
 60010|19 41 42.68|+40 11 55.3|16.30| 0.81| 3| 0|   1.91| 0.41|  1.47|93|97|SM |       |     |   | |  1|VC|Simbad
 60012|19 41 02.62|+40 16 31.9|16.44| 0.79| 3| 0|   2.21| 0.74|  2.61|94|99|SM |       |     |   | |  1|VC|Simbad
 60015|19 40 44.43|+40 08 23.4|16.29| 0.84| 3| 0| -31.27| 0.27|  0.96| 0| 3|SN |       |     |   | |  1|VC|Simbad
 60016|19 41 46.30|+40 16 59.8|16.20| 0.83| 3| 0|  13.86| 0.41|  1.46| 0| 0|SN |       |     |   | |  1|VC|Simbad
 60017|19 41 18.35|+40 03 42.9|16.23| 0.79|14| 0|   4.65| 0.37|  3.33|62|98|SM |       |     |   | |  1|VC|Simbad
 60020|19 42 03.91|+40 07 57.5|16.33| 0.82| 2| 0|   2.01| 0.13|  0.33|  | 0|   |       |     |   | |  0|VC|Simbad
 60021|19 40 31.24|+40 16 41.0|16.26| 0.77|11| 0|   3.53| 0.30|  2.41|90|39|SM |       |     |   | |  1|VC|Simbad
 60022|19 42 04.40|+40 05 27.3|16.29| 0.86| 4| 0| -10.67| 0.34|  1.46| 0| 1|SN |       |     |   | |  1|VC|Simbad
 60023|19 40 38.46|+40 20 26.8|16.08| 0.86|11| 0| -21.96| 1.16|  9.14| 0|29|BN | -19.50| 0.20|SB1| |  1|VC|Simbad
 60024|19 40 16.84|+40 11 12.2|16.07| 0.75| 1| 0|   3.50| 0.40| -1.00|  |37|   |       |     |   | |  0|VC|Simbad
 60028|19 42 21.48|+40 17 44.2|16.22| 0.82| 3| 0|   2.20| 0.35|  1.25|94|62|SM |       |     |   | |  0|VC|Simbad
 60032|19 39 58.88|+40 16 49.7|15.68| 0.81| 2| 0|  11.99| 0.14|  0.35|  |57|   |       |     |   | |  0|VC|Simbad
 60040|19 42 53.38|+40 03 58.1|15.47| 0.83| 3| 0| -12.51| 0.51|  1.80| 0| 2|SN |       |     |   | |  0|VC|Simbad
 60042|19 42 36.88|+39 57 58.7|15.53| 0.83| 4| 0| -34.75| 0.35|  1.50| 0|22|SN |       |     |   | |  0|VC|Simbad
 60043|19 40 07.87|+40 28 07.4|16.22| 0.94| 2| 0|  13.72| 0.32|  0.80|  |25|   |       |     |   | |  0|VC|Simbad
 60045|19 43 11.95|+40 15 34.3|15.33| 0.77| 3| 0| -28.56| 0.30|  1.05| 0|32|SN |       |     |   | |  0|VC|Simbad
 60049|19 39 52.45|+39 53 49.4|14.95| 0.77| 3| 0|   6.84| 0.27|  0.96| 0|47|SN |       |     |   | |  0|VC|Simbad
 60053|19 41 32.45|+40 37 46.1|16.35| 0.87| 3| 0| -28.37| 0.30|  1.08| 0|  |SN |       |     |   | |  0|VC|Simbad
 60057|19 38 56.49|+40 03 46.9|15.14| 0.87| 3| 0| -67.97| 0.32|  1.14| 0| 9|SN |       |     |   | |  0|VC|Simbad
 60059|19 40 55.39|+40 40 52.2|14.76| 0.81| 2| 0|   0.63| 1.12|  2.80|  |  |   |       |     |   | |  0|VC|Simbad
 61004|19 41 18.08|+40 13 20.0|16.01| 0.77| 1| 0|   4.39| 0.40| -1.00|  |99|   |       |     |   | |  0|VC|Simbad
 61005|19 41 29.00|+40 12 20.6|16.20| 0.80| 3| 0|   2.60| 0.66|  2.32|94|91|SM |       |     |   | |  0|VC|Simbad
 61007|19 41 06.84|+40 14 37.6|15.98| 0.77| 3| 0|   2.77| 0.10|  0.37|94|99|SM |       |     |   | |  1|VC|Simbad
 61009|19 41 32.40|+40 08 26.4|16.36| 0.83| 3| 0|   2.87| 0.65|  2.31|94|97|SM |       |     |   | |  0|VC|Simbad
 61012|19 41 41.38|+40 08 07.8|16.50| 0.83| 3| 0|   1.86| 0.22|  0.78|93|98|SM |       |     |   | |  1|VC|Simbad
 61015|19 40 56.37|+40 05 49.3|16.31| 0.79| 2| 0|   4.88| 1.00|  2.51|  |94|   |       |     |   | |  0|VC|Simbad
 61016|19 41 33.43|+40 18 45.6|16.25| 0.78| 3| 0|   1.67| 0.36|  1.26|92|98|SM |       |     |   | |  1|VC|Simbad
 61017|19 42 01.56|+40 12 57.4|16.27| 0.82| 3| 0| -26.72| 0.97|  3.42| 0| 0|SN |       |     |   | |  1|VC|Simbad
 61019|19 41 37.34|+40 20 23.4|16.33| 0.80| 4| 0|   4.06| 0.32|  1.39|83|98|SM |       |     |   | |  1|VC|Simbad
 61023|19 41 21.28|+40 00 33.3|16.10| 0.86| 3| 0|  -3.34| 0.38|  1.34| 0| 0|SN |       |     |   | |  1|VC|Simbad
 61024|19 41 06.98|+40 00 20.3|15.86| 0.76| 6| 0|   5.52| 0.22|  1.23|15| 0|SN |       |     |   | |  1|VC|Simbad
 61026|19 42 08.22|+40 20 06.9|15.97| 0.82| 3| 0| -16.92| 0.19|  0.69| 0|57|SN |       |     |   | |  0|VC|Simbad
 61027|19 40 08.35|+40 14 16.8|16.02| 0.87| 3| 0|   4.70| 0.45|  1.59|60| 6|SM |       |     |   | |  0|VC|Simbad
 61032|19 40 23.80|+39 59 47.9|15.74| 0.74| 3| 0|   1.43| 0.71|  2.50|90|55|SM |       |     |   | |  0|VC|Simbad
 61034|19 42 43.10|+40 08 49.1|15.86| 0.84| 1| 0| -50.85| 0.40| -1.00|  | 0|   |       |     |   | |  0|VC|Simbad
 61052|19 41 20.47|+39 45 54.7|15.06| 0.84| 2| 0| -65.91| 0.44|  1.09|  |  |   |       |     |   | |  0|VC|Simbad
 61055|19 39 22.84|+39 55 20.7|15.36| 0.87| 3| 0|   9.83| 0.08|  0.28| 0|14|SN |       |     |   | |  0|VC|Simbad
 61059|19 43 31.77|+39 58 15.4|14.85| 0.77| 1| 0| -23.41| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 62003|19 41 09.97|+40 11 58.0|16.48| 0.79| 3| 0|   3.03| 0.81|  2.88|93|98|SM |       |     |   | |  0|VC|Simbad
 62007|19 41 34.02|+40 11 51.9|16.00| 0.77| 3| 0|   1.76| 0.18|  0.64|93|97|SM |       |     |   | |  1|VC|Simbad
 62008|19 41 34.90|+40 13 55.0|16.24| 0.81| 1| 0|   0.18| 0.40| -1.00|  |98|   |       |     |   | |  0|VC|Simbad
 62010|19 40 53.48|+40 13 06.9|16.39| 0.86|25| 0|   2.52| 0.89| 10.90|94|98|BM |   2.12| 0.20|SB1|O|  1|VC|Simbad
 62012|19 41 35.13|+40 07 06.6|16.47| 0.93| 3| 0| -90.93| 0.33|  1.18| 0| 0|SN |       |     |   | |  1|VC|Simbad
 62015|19 41 10.05|+40 19 04.1|16.29| 0.92| 9| 0| -32.44| 2.46| 17.37| 0| 0|BLN|       |     |   | |  1|VC|Simbad
 62016|19 40 37.49|+40 11 27.8|16.28| 0.85|17| 0| -13.19| 1.07| 10.74| 0| 0|BN | -13.50| 1.00|SB1| |  1|VC|Simbad
 62017|19 41 51.69|+40 06 47.1|16.28| 0.84| 2| 0|   6.06| 1.30|  3.26|  |98|   |       |     |   | |  0|VC|Simbad
 62019|19 40 32.06|+40 15 02.1|16.35| 0.82|12| 0|  -1.60| 0.20|  1.70| 1| 0|SN |       |     |   | |  1|VC|Simbad
 62022|19 41 46.32|+40 02 28.5|16.32| 0.91|11| 0| -29.27| 0.29|  2.27| 0|15|SN |       |     |   | |  1|VC|Simbad
 62023|19 42 06.39|+40 18 28.0|16.10| 0.82| 3| 0|  14.06| 0.33|  1.16| 0| 7|SN |       |     |   | |  1|VC|Simbad
 62024|19 42 06.91|+40 18 25.1|15.84| 0.76| 4| 0|   2.54| 0.35|  1.51|94|50|SM |       |     |   | |  1|VC|Simbad
 62025|19 41 44.08|+40 22 58.8|15.95| 0.94| 3| 0|  -5.47| 0.51|  1.79| 0|18|SN |       |     |   | |  0|VC|Simbad
 62028|19 40 25.01|+40 02 14.0|15.92| 0.85| 3| 0| -49.90| 0.10|  0.34| 0| 3|SN |       |     |   | |  1|VC|Simbad
 62029|19 40 06.60|+40 16 21.6|15.83| 0.85| 2| 0|  31.15| 0.66|  1.65|  | 0|   |       |     |   | |  0|VC|Simbad
 62034|19 40 25.83|+39 58 06.3|15.26| 0.71| 3| 0|   3.10| 0.43|  1.53|93|47|SM |       |     |   | |  0|VC|Simbad
 62042|19 41 04.46|+40 32 16.1|15.23| 0.86| 3| 0|   9.03| 0.26|  0.91| 0|56|SN |       |     |   | |  0|VC|Simbad
 62048|19 39 59.32|+39 53 24.5|15.44| 1.31| 1| 0| -50.89| 0.40| -1.00|  |16|   |       |     |   | |  0|VC|Simbad
 62049|19 41 57.00|+40 34 41.8|15.33| 0.97| 3| 0|  -6.78| 0.13|  0.48| 0|  |SN |       |     |   | |  0|VC|Simbad
 62050|19 43 26.31|+40 12 10.4|15.12| 0.79| 6| 0| -28.05| 1.47|  8.22| 0|  |BLN|       |     |   | |  0|VC|Simbad
 62051|19 43 24.06|+40 04 03.8|15.07| 0.79| 1| 0| -39.40| 0.40| -1.00|  | 2|   |       |     |   | |  0|VC|Simbad
 62053|19 43 35.41|+40 09 58.1|15.41| 1.00| 4| 0| -32.87| 4.02| 17.40| 0|  |BLN|       |     |   | |  0|VC|Simbad
 63006|19 41 10.34|+40 09 37.4|16.16| 0.79| 3| 0|   1.57| 0.41|  1.44|91|95|SM |       |     |   | |  1|VC|Simbad
 63009|19 40 59.73|+40 14 33.6|16.48| 0.82| 3| 0|   0.74| 0.42|  1.47|79|85|SM |       |     |   | |  1|VC|Simbad
 63010|19 41 18.65|+40 16 29.7|16.41| 0.89| 2| 0| -49.82| 0.03|  0.07|  | 0|   |       |     |   | |  1|VC|Simbad
 63012|19 41 13.72|+40 06 01.6|16.48| 0.88| 3| 0| -36.61| 0.60|  2.12| 0|58|SN |       |     |   | |  0|VC|Simbad
 63015|19 41 55.03|+40 11 31.5|16.31| 0.92| 3| 0|  16.68| 0.63|  2.21| 0| 2|SN |       |     |   | |  1|VC|Simbad
 63016|19 40 40.13|+40 14 18.0|16.33| 0.73| 3| 0| -18.23| 0.28|  0.98| 0| 0|SN |       |     |   | |  1|VC|Simbad
 63019|19 40 49.31|+40 19 26.7|16.33| 0.70| 3| 0|  24.27| 0.42|  1.50| 0| 0|SN |       |     |   | |  1|VC|Simbad
 63020|19 40 38.35|+40 18 03.6|16.44| 0.81| 3| 0| -33.62| 0.64|  2.26| 0| 0|SN |       |     |   | |  1|VC|Simbad
 63021|19 40 44.99|+40 19 54.5|16.32| 0.95| 5| 0|  37.96| 0.48|  2.39| 0| 4|SN |       |     |   | |  1|VC|Simbad
 63022|19 40 45.32|+40 03 04.8|16.34| 0.83| 1| 0| -49.81| 0.40| -1.00|  | 0|   |       |     |   | |  0|VC|Simbad
 63023|19 41 17.54|+40 23 01.8|16.02| 0.73| 3| 0|   1.39| 0.18|  0.63|90|58|SM |       |     |   | |  0|VC|Simbad
 63025|19 40 55.37|+40 23 03.2|16.40| 0.90| 3| 0| -54.39| 0.78|  2.75| 0| 5|SN |       |     |   | |  0|VC|Simbad
 63034|19 42 44.30|+40 08 27.3|15.46| 1.22| 4| 0| -68.06| 0.15|  0.65| 0|21|SN |       |     |   | |  0|VC|Simbad
 63036|19 42 04.18|+40 26 56.3|15.63| 0.85| 3| 0| -48.26| 0.38|  1.35| 0|49|SN |       |     |   | |  0|VC|Simbad
 63044|19 39 34.70|+40 02 49.5|15.29| 0.77| 3| 0|   1.03| 0.08|  0.27|85|47|SM |       |     |   | |  0|VC|Simbad
 63050|19 40 42.73|+40 35 24.6|15.26| 1.21| 2| 0|  19.72| 0.26|  0.65|  |  |   |       |     |   | |  0|VC|Simbad
 63051|19 41 26.56|+39 46 21.3|15.22| 0.69| 1| 0|   8.73| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 63052|19 42 10.57|+39 48 11.3|15.11| 1.15| 3| 0| -24.02| 0.45|  1.60| 0|  |SN |       |     |   | |  0|VC|Simbad
 63055|19 43 34.04|+40 19 14.4|15.43| 0.98| 3| 0| -25.21| 0.96|  3.40| 0|  |SN |       |     |   | |  0|VC|Simbad
 63058|19 42 24.62|+40 37 38.0|14.94| 1.24| 1| 0|  -3.17| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 63059|19 42 51.32|+39 48 47.4|14.82| 0.74| 3| 0|   4.49| 0.80|  2.82|69|  |SM |       |     |   | |  0|VC|Simbad
 64004|19 41 11.17|+40 10 23.7|16.05| 0.77| 4| 0|   3.17| 0.61|  2.65|93|98|SM |       |     |   | |  1|VC|Simbad
 64005|19 41 07.26|+40 10 52.7|16.24| 0.82| 2| 0|   1.78|37.82| 94.56|  |99|   |       |     |   | |  0|VC|Simbad
 64006|19 41 11.11|+40 09 32.3|16.22| 0.81| 3| 0|   3.87| 0.25|  0.87|86|99|SM |       |     |   | |  1|VC|Simbad
 64007|19 41 33.93|+40 10 50.9|16.07| 0.85| 2| 0| -27.08| 0.02|  0.05|  | 0|   |       |     |   | |  1|VC|Simbad
 64008|19 41 30.42|+40 14 16.5|16.26| 0.82|13| 0|   1.36| 0.22|  1.86|90|98|SM |       |     |   | |  1|VC|Simbad
 64009|19 41 38.53|+40 12 24.3|16.47| 0.81| 4| 0|   0.65| 0.84|  3.65|76|96|SM |       |     |   | |  1|VC|Simbad
 64010|19 41 12.43|+40 16 32.7|16.43| 0.89| 3| 0| -21.22| 0.44|  1.55| 0|94|SN |       |     |   | |  1|VC|Simbad
 64015|19 41 54.78|+40 10 34.7|16.31| 0.84| 3| 0|   2.96| 0.73|  2.58|93|98|SM |       |     |   | |  1|VC|Simbad
 64016|19 41 17.82|+40 19 34.0|16.40| 0.80| 3| 0|   4.03| 0.78|  2.75|83|96|SM |       |     |   | |  0|VC|Simbad
 64017|19 40 44.79|+40 06 44.3|16.31| 0.85| 3| 0|  -3.01| 0.23|  0.81| 0| 0|SN |       |     |   | |  1|VC|Simbad
 64019|19 41 57.23|+40 17 04.0|16.41| 0.82| 3| 0|   3.66| 0.04|  0.14|89|97|SM |       |     |   | |  0|VC|Simbad
 64020|19 40 36.52|+40 05 39.4|16.50| 0.80| 2| 0|   1.45| 0.08|  0.21|  |84|   |       |     |   | |  0|VC|Simbad
 64021|19 41 35.31|+40 21 38.2|16.32| 0.86| 4| 0| -11.84| 0.47|  2.02| 0| 1|SN |       |     |   | |  1|VC|Simbad
 64024|19 42 16.46|+40 08 04.5|15.91| 0.90| 3| 0| -45.24| 0.45|  1.59| 0| 0|SN |       |     |   | |  1|VC|Simbad
 64031|19 41 52.91|+40 25 37.1|16.16| 0.84| 3| 0|  -4.47| 0.29|  1.04| 0|61|SN |       |     |   | |  0|VC|Simbad
 64044|19 39 54.27|+40 26 20.0|15.24| 0.90| 3| 0| -23.21| 0.35|  1.24| 0|  |SN |       |     |   | |  0|VC|Simbad
 64045|19 41 53.63|+40 32 43.1|15.66| 0.84| 2| 0|   3.77| 0.94|  2.36|  | 1|   |       |     |   | |  0|VC|Simbad
 64050|19 39 32.84|+39 57 11.6|15.18| 0.73| 3| 0|  17.78| 0.32|  1.13| 0|57|SN |       |     |   | |  0|VC|Simbad
 64051|19 42 09.59|+40 34 58.0|15.19| 0.75| 3| 0|  -6.29| 0.13|  0.46| 0|  |SN |       |     |   | |  0|VC|Simbad
 64052|19 39 12.94|+40 01 27.8|     |     | 2| 0| -12.95| 1.98|  4.96|  |  |   |       |     |   | |  0|VC|Simbad
 64056|19 43 29.02|+39 59 53.1|15.28| 0.82| 3| 0|  16.72| 0.47|  1.68| 0|  |SN |       |     |   | |  0|VC|Simbad
 65006|19 41 22.40|+40 14 06.7|16.31| 0.79| 3| 0|   4.32| 0.64|  2.26|76|98|SM |       |     |   | |  1|VC|Simbad
 65007|19 41 27.84|+40 08 55.6|16.07| 0.78| 3| 0|   4.16| 0.65|  2.30|80|99|SM |       |     |   | |  1|VC|Simbad
 65008|19 41 19.90|+40 15 41.5|16.30| 0.80| 3| 0|   3.15| 0.15|  0.52|93|97|SM |       |     |   | |  0|VC|Simbad
 65010|19 41 23.26|+40 16 11.3|16.49| 0.82| 3| 0|   2.80| 0.60|  2.12|94|97|SM |       |     |   | |  0|VC|Simbad
 65015|19 41 10.64|+40 04 41.3|16.32| 0.79| 3| 0|   3.02| 0.27|  0.95|93|96|SM |       |     |   | |  0|VC|Simbad
 65016|19 40 48.79|+40 17 05.7|16.40| 0.74| 3| 0|  -9.75| 0.63|  2.22| 0| 2|SN |       |     |   | |  1|VC|Simbad
 65017|19 41 48.39|+40 17 20.9|16.34| 0.89| 4| 0|  28.17| 0.80|  3.48| 0| 0|SN |       |     |   | |  1|VC|Simbad
 65023|19 42 15.02|+40 12 35.3|16.10| 0.87| 3| 0| -28.95| 0.30|  1.05| 0| 0|SN |       |     |   | |  1|VC|Simbad
 65028|19 41 20.78|+39 58 06.8|15.80| 0.91| 2| 0|-107.16| 0.14|  0.36|  | 0|   |       |     |   | |  0|VC|Simbad
 65030|19 40 47.07|+39 58 08.4|15.53| 1.00| 3| 0| -19.06| 0.32|  1.14| 0| 8|SN |       |     |   | |  0|VC|Simbad
 65032|19 39 53.88|+40 12 05.2|16.07| 0.79| 2| 0|  -1.84| 0.61|  1.53|  | 3|   |       |     |   | |  0|VC|Simbad
 65041|19 43 03.58|+40 10 37.9|15.16| 0.83| 4| 0|  -2.25| 0.14|  0.59| 0|10|SN |       |     |   | |  0|VC|Simbad
 65042|19 41 48.90|+39 52 10.6|15.21| 0.74| 1| 0|   7.42| 0.40| -1.00|  | 1|   |       |     |   | |  0|VC|Simbad
 65052|19 43 14.24|+39 58 52.0|15.13| 0.82| 4| 0| -28.14| 0.23|  0.99| 0|54|SN |       |     |   | |  0|VC|Simbad
 65055|19 42 28.56|+39 48 23.6|15.37| 1.30| 3| 0| -59.82| 0.33|  1.15| 0|  |SN |       |     |   | |  0|VC|Simbad
 65056|19 40 20.30|+39 46 12.8|15.11| 0.70| 2| 0| -41.13| 4.76| 11.90|  |  |   |       |     |   | |  0|VC|Simbad
 65058|19 42 51.48|+40 34 32.0|14.87| 1.05| 1| 0| -39.09| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 65059|19 39 11.67|+40 28 48.1|15.20| 0.82| 3| 0|  16.60| 0.27|  0.94| 0|18|SN |       |     |   | |  0|VC|Simbad
 66004|19 41 20.31|+40 13 37.0|16.10| 0.80|17| 0|   7.96| 6.73| 67.31|94|96|BM |   2.92| 0.50|SB1|O|  1|VC|Simbad
 66006|19 41 27.86|+40 13 56.2|16.40| 0.84| 3| 0|   3.44| 0.42|  1.47|91|94|SM |       |     |   | |  0|VC|Simbad
 66007|19 41 34.55|+40 11 27.8|16.12| 0.77| 3| 0|   2.22| 0.19|  0.67|94|98|SM |       |     |   | |  1|VC|Simbad
 66015|19 40 55.22|+40 17 49.5|16.34| 0.78| 3| 0|   3.87| 0.26|  0.90|86|99|SM |       |     |   | |  0|VC|Simbad
 66016|19 40 48.86|+40 06 16.6|16.42| 0.80|18| 0|   3.35| 3.91| 40.27|94|97|BM |   2.22| 0.32|SB1|O|  1|VC|Simbad
 66021|19 40 37.01|+40 18 46.7|16.34| 0.96| 3| 0|-156.46| 0.42|  1.48| 0|  |SN |       |     |   | |  1|VC|Simbad
 66025|19 42 15.69|+40 06 31.1|16.17| 0.85| 3| 0|   3.75| 0.47|  1.65|88|15|SM |       |     |   | |  0|VC|Simbad
 66034|19 40 08.84|+40 01 33.8|15.75| 0.94| 2| 0| -12.54| 0.72|  1.81|  |46|   |       |     |   | |  0|VC|Simbad
 66035|19 39 50.93|+40 16 48.1|15.77| 0.78| 1| 0|  17.08| 0.40| -1.00|  |17|   |       |     |   | |  0|VC|Simbad
 66039|19 42 49.08|+40 03 43.8|15.68| 0.83| 2| 0|  -2.76| 0.76|  1.91|  |55|   |       |     |   | |  0|VC|Simbad
