#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-21T18:41:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dadfbb914a6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/133/1409&tab:{J/AJ/133/1409/table4}&key:source=J/AJ/133/1409&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/133/1409/table4
#-order=I
#-out=FTS
#-out=WEBDA
#-out=RAJ2000
#-out=DEJ2000
#-out=f_u'mag
#-out=u'mag
#-out=e_u'mag
#-out=f_g'mag
#-out=g'mag
#-out=e_g'mag
#-out.all=2
#-out=f_r'mag
#-out=r'mag
#-out=e_r'mag
#-out=f_i'mag
#-out=i'mag
#-out=e_i'mag
#-out=f_z'mag
#-out=z'mag
#-out=e_z'mag
#-out=Mm
#-out=Comm
#-out=PKM
#PKM=PKM
#-out.all=2
#

#RESOURCE=yCat_51331409
#Name: J/AJ/133/1409
#Title: u'g'r'i'z' photometry in NGC 188 (Fornal+, 2007)
#Table	J_AJ_133_1409_table4:
#Name: J/AJ/133/1409/table4
#Title: Available Data from the USNO 1.0m Telescope for NGC 188
#Column	FTS	(I3)	Star identification number, Cl* NGC 188 FTS NNN in Simbad (1)	[ucd=meta.id;meta.main]
#Column	WEBDA	(I4)	? The webda identification number (2) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	f_u'mag	(I1)	[0,1] Flag on u'mag (4)	[ucd=meta.code]
#Column	u'mag	(F6.3)	? The u' band magnitude (3)	[ucd=phot.mag;em.opt.U]
#Column	e_u'mag	(F6.3)	? Error (photon noise) in u'mag	[ucd=stat.error;phot.mag]
#Column	f_g'mag	(I1)	[0,1] Flag on g'mag (4)	[ucd=meta.code]
#Column	g'mag	(F6.3)	? The g' band magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	e_g'mag	(F6.3)	? Error (photon noise) in g'mag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	f_r'mag	(I1)	[0,1] Flag on r'mag (4)	[ucd=meta.code]
#Column	r'mag	(F6.3)	? The r' band magnitude (3)	[ucd=phot.mag;em.opt.R]
#Column	e_r'mag	(F6.3)	? Error (photon noise) in r'mag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	f_i'mag	(I1)	[0,1] Flag on i'mag (4)	[ucd=meta.code]
#Column	i'mag	(F6.3)	? The i' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_i'mag	(F6.3)	? Error (photon noise) in i'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	f_z'mag	(I1)	[0,1] Flag on z'mag (4)	[ucd=meta.code]
#Column	z'mag	(F6.3)	? The z' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_z'mag	(F6.3)	? Error (photon noise) in z'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Mm	(I2)	Membership probability from Platais et al. (2003, Cat. J/AJ/126/2922)	[ucd=stat]
#Column	Comm	(A3)	Comments (5)	[ucd=meta.note]
#Column	PKM	(A3)	Data from Platais et al. 2003, Cat. J/AJ/126/2922	[ucd=meta.ref.url]
FTS|WEBDA|RAJ2000|DEJ2000|f_u'mag|u'mag|e_u'mag|f_g'mag|g'mag|e_g'mag|f_r'mag|r'mag|e_r'mag|f_i'mag|i'mag|e_i'mag|f_z'mag|z'mag|e_z'mag|Mm|Comm|PKM
414|2381|00 50 14.10|+85 13 18|1|      |      |0|17.801| 0.012|0|17.085| 0.011|0|16.750| 0.013|0|17.089| 0.045|95|   |PKM
415|1117|00 45 54.51|+85 14 45|1|      |      |0|17.885| 0.013|0|17.086| 0.011|0|16.809| 0.014|0|16.822| 0.036|98|   |PKM
416|    |00 45 05.83|+85 18 06|1|      |      |0|18.020| 0.015|0|17.097| 0.011|0|16.802| 0.014|0|16.777| 0.035| 0|   |PKM
417|    |00 52 49.95|+85 13 19|1|      |      |0|17.890| 0.013|0|17.097| 0.011|0|16.724| 0.024|1|      |      | 0|b  |PKM
418|    |00 50 44.69|+85 11 38|1|      |      |0|17.960| 0.014|0|17.140| 0.011|0|16.710| 0.013|0|16.709| 0.033|94|   |PKM
419|    |00 48 14.13|+85 19 06|1|      |      |0|17.850| 0.013|0|17.144| 0.011|0|16.833| 0.014|0|17.023| 0.043|97|   |PKM
420|4422|00 46 00.64|+85 11 43|1|      |      |0|17.846| 0.013|0|17.145| 0.011|0|16.920| 0.015|0|16.629| 0.031|97|   |PKM
421|1138|00 47 34.19|+85 15 40|1|      |      |0|17.877| 0.013|0|17.157| 0.012|0|17.028| 0.017|0|17.073| 0.045|93|   |PKM
422|    |00 52 03.75|+85 13 47|1|      |      |0|17.819| 0.013|0|17.161| 0.012|0|16.938| 0.015|0|17.413| 0.118| 0|   |PKM
423|    |00 51 58.23|+85 09 27|1|      |      |0|17.937| 0.014|0|17.175| 0.012|0|16.918| 0.015|0|16.565| 0.056|95|   |PKM
424|    |00 51 32.23|+85 12 59|0|19.924| 0.071|0|18.098| 0.016|0|17.182| 0.012|0|16.859| 0.014|0|16.700| 0.033|96|   |PKM
425|    |00 47 12.14|+85 09 36|0|18.977| 0.030|0|17.689| 0.011|0|17.186| 0.012|0|16.978| 0.016|0|16.926| 0.076| 0|   |PKM
426|1137|00 47 07.56|+85 14 49|1|      |      |0|17.898| 0.014|0|17.190| 0.012|0|16.869| 0.015|0|16.682| 0.033|96|   |PKM
427|    |00 45 28.19|+85 17 04|1|      |      |1|      |      |0|17.207| 0.023|0|16.920| 0.029|0|16.956| 0.079|90|b  |PKM
428|    |00 45 48.19|+85 09 43|1|      |      |0|17.973| 0.014|0|17.218| 0.012|0|16.955| 0.015|0|17.466| 0.062|97|   |PKM
429|    |00 46 29.91|+85 10 43|1|      |      |0|18.216| 0.017|0|17.221| 0.012|0|16.860| 0.014|0|16.858| 0.037|97|   |PKM
430|4387|00 47 14.50|+85 18 13|1|      |      |0|18.066| 0.015|0|17.244| 0.012|0|16.876| 0.014|0|16.746| 0.034|84|   |PKM
431|    |00 49 58.29|+85 11 19|1|      |      |0|18.163| 0.017|0|17.258| 0.013|0|16.804| 0.014|1|      |      |93|b  |PKM
432|4671|00 50 14.43|+85 16 27|1|      |      |0|18.040| 0.015|0|17.261| 0.013|0|16.980| 0.016|0|17.347| 0.111|97|   |PKM
433|    |00 48 40.43|+85 10 37|1|      |      |0|17.980| 0.014|0|17.270| 0.013|0|17.005| 0.016|0|17.087| 0.045| 0|   |PKM
434|    |00 47 29.33|+85 18 43|1|      |      |0|18.330| 0.019|0|17.311| 0.013|0|16.982| 0.016|0|16.615| 0.031|95|   |PKM
435|    |00 44 49.04|+85 10 04|1|      |      |0|18.074| 0.015|0|17.314| 0.013|0|17.096| 0.017|0|17.085| 0.045|98|   |PKM
436|1122|00 48 33.58|+85 14 58|1|      |      |0|18.069| 0.016|0|17.315| 0.013|0|17.154| 0.018|0|17.452| 0.062|95|   |PKM
437|1142|00 46 44.12|+85 17 11|1|      |      |0|18.066| 0.015|0|17.318| 0.013|0|16.943| 0.015|1|      |      |91|b  |PKM
438|    |00 47 39.81|+85 19 00|1|      |      |0|18.146| 0.016|0|17.325| 0.013|0|17.101| 0.017|0|16.674| 0.062|96|   |PKM
439|    |00 44 24.76|+85 13 37|1|      |      |0|18.335| 0.019|0|17.332| 0.013|0|17.091| 0.017|0|17.215| 0.099|98|   |PKM
440|4198|00 48 52.72|+85 15 43|0|18.694| 0.024|0|18.101| 0.016|0|17.336| 0.014|0|17.117| 0.018|0|17.140| 0.047|91|   |PKM
441|    |00 45 28.05|+85 17 04|1|      |      |0|18.112| 0.016|0|17.340| 0.014|0|16.811| 0.014|0|16.719| 0.034|90|a  |PKM
442|    |00 51 49.07|+85 16 39|1|      |      |0|18.031| 0.015|0|17.343| 0.014|0|16.969| 0.016|1|      |      |84|b  |PKM
443|4581|00 50 44.11|+85 15 09|1|      |      |0|18.400| 0.020|0|17.343| 0.014|0|16.962| 0.016|0|16.580| 0.030|98|   |PKM
444|1141|00 47 14.10|+85 16 26|1|      |      |0|18.370| 0.020|0|17.355| 0.014|0|16.950| 0.015|0|16.717| 0.034|91|   |PKM
445|    |00 52 32.19|+85 16 36|1|      |      |1|      |      |0|17.364| 0.014|0|16.715| 0.013|0|16.692| 0.033| 0|b  |PKM
446|    |00 45 05.51|+85 19 37|1|      |      |0|18.028| 0.015|0|17.365| 0.014|0|17.134| 0.018|0|16.568| 0.030| 0|   |PKM
447|1146|00 46 53.91|+85 16 44|1|      |      |0|18.137| 0.016|0|17.369| 0.014|0|17.089| 0.017|0|17.037| 0.043|96|   |PKM
448|    |00 44 14.43|+85 13 44|1|      |      |0|18.376| 0.020|0|17.390| 0.014|0|17.032| 0.017|0|16.622| 0.031|98|   |PKM
449|4544|00 48 11.00|+85 17 03|1|      |      |0|18.165| 0.017|0|17.391| 0.014|0|17.064| 0.017|0|17.122| 0.091|97|   |PKM
450|    |00 49 54.01|+85 11 22|1|      |      |0|18.371| 0.020|0|17.392| 0.014|0|16.940| 0.015|1|      |      |90|b  |PKM
451|    |00 44 43.24|+85 16 40|1|      |      |0|18.238| 0.018|0|17.408| 0.014|0|17.111| 0.018|0|16.972| 0.080|96|   |PKM
452|    |00 50 47.98|+85 11 25|0|18.931| 0.029|0|17.803| 0.012|0|17.411| 0.014|0|17.235| 0.019|1|      |      |21|   |PKM
453|1134|00 46 33.08|+85 13 54|1|      |      |0|18.245| 0.018|0|17.412| 0.014|0|17.198| 0.019|1|      |      |97|   |PKM
454|1165|00 48 58.36|+85 14 34|1|      |      |0|18.309| 0.019|0|17.436| 0.015|0|17.277| 0.020|0|17.043| 0.085|97|   |PKM
455|4585|00 46 02.50|+85 15 35|0|19.854| 0.067|0|18.193| 0.017|0|17.439| 0.015|0|17.108| 0.018|0|16.891| 0.074|97|   |PKM
456|    |00 47 55.20|+85 18 04|1|      |      |1|      |      |0|17.445| 0.015|0|16.902| 0.015|1|      |      | 0|   |PKM
457|    |00 45 18.98|+85 14 28|1|      |      |0|18.331| 0.019|0|17.456| 0.015|0|17.101| 0.018|0|17.628| 0.072|97|   |PKM
458|    |00 46 48.83|+85 18 58|1|      |      |0|18.286| 0.018|0|17.457| 0.015|0|17.163| 0.018|0|17.516| 0.130|95|   |PKM
459|    |00 46 08.81|+85 18 55|0|18.776| 0.026|0|17.848| 0.013|0|17.484| 0.015|0|17.440| 0.023|1|      |      | 0|   |PKM
460|    |00 44 43.60|+85 10 32|1|      |      |0|18.304| 0.019|0|17.488| 0.015|0|17.188| 0.019|0|17.626| 0.142|98|   |PKM
461|    |00 44 04.30|+85 15 26|1|      |      |0|18.323| 0.019|0|17.492| 0.015|0|17.190| 0.019|1|      |      |95|   |PKM
462|    |00 52 33.66|+85 15 54|1|      |      |0|18.033| 0.029|0|17.500| 0.029|0|17.343| 0.042|1|      |      | 0|   |PKM
463|4220|00 48 50.97|+85 14 41|1|      |      |0|18.617| 0.024|0|17.503| 0.016|0|17.101| 0.017|0|16.876| 0.073|84|   |PKM
464|    |00 51 11.14|+85 19 17|1|      |      |0|18.240| 0.018|0|17.503| 0.015|0|17.305| 0.021|1|      |      | 0|   |PKM
465|4313|00 49 15.32|+85 14 21|1|      |      |0|18.349| 0.019|0|17.503| 0.016|0|17.324| 0.021|0|17.231| 0.100|87|   |PKM
466|1143|00 46 35.74|+85 17 18|1|      |      |0|18.520| 0.023|0|17.522| 0.016|0|17.188| 0.019|0|17.177| 0.049|94|   |PKM
467|    |00 51 08.31|+85 16 14|1|      |      |1|      |      |0|17.532| 0.016|0|17.319| 0.021|1|      |      | 0|b  |PKM
468|    |00 52 08.85|+85 19 05|1|      |      |0|18.430| 0.021|0|17.536| 0.016|0|17.184| 0.019|1|      |      |59|   |PKM
469|    |00 52 33.51|+85 15 54|0|19.246| 0.039|0|17.992| 0.014|0|17.544| 0.016|0|17.317| 0.021|1|      |      | 0|   |PKM
470|    |00 44 43.68|+85 09 18|0|20.077| 0.081|0|18.425| 0.021|0|17.545| 0.016|0|17.198| 0.019|1|      |      |97|   |PKM
471|    |00 44 39.94|+85 18 27|1|      |      |0|18.447| 0.021|0|17.548| 0.016|0|17.055| 0.017|1|      |      | 9|   |PKM
472|    |00 44 02.43|+85 15 33|1|      |      |0|18.144| 0.016|0|17.554| 0.016|0|17.392| 0.022|1|      |      |49|   |PKM
473|    |00 52 05.25|+85 11 03|1|      |      |0|18.412| 0.020|0|17.560| 0.016|0|17.241| 0.020|1|      |      | 0|   |PKM
474|    |00 51 05.19|+85 10 05|1|      |      |0|18.427| 0.021|0|17.561| 0.016|0|17.317| 0.021|1|      |      |91|   |PKM
475|    |00 52 05.71|+85 14 33|1|      |      |0|18.516| 0.022|0|17.592| 0.017|0|17.348| 0.021|1|      |      |96|   |PKM
476|    |00 45 17.21|+85 19 06|1|      |      |0|18.422| 0.021|0|17.593| 0.017|0|17.222| 0.019|1|      |      |78|c  |PKM
477|    |00 48 27.37|+85 10 02|1|      |      |0|18.491| 0.022|0|17.598| 0.017|0|17.325| 0.021|0|16.880| 0.073|88|   |PKM
478|4464|00 49 16.99|+85 15 58|1|      |      |0|18.547| 0.023|0|17.600| 0.017|0|17.359| 0.022|1|      |      |97|   |PKM
479|    |00 51 48.63|+85 13 23|1|      |      |0|18.535| 0.023|0|17.653| 0.018|0|17.469| 0.024|1|      |      |92|   |PKM
480|    |00 50 03.65|+85 19 07|1|      |      |1|      |      |0|17.666| 0.018|0|16.867| 0.014|1|      |      |79|   |PKM
481|1144|00 46 54.15|+85 17 31|1|      |      |0|18.753| 0.028|0|17.680| 0.018|0|17.257| 0.020|1|      |      |94|   |PKM
482|4328|00 47 32.97|+85 17 56|1|      |      |0|18.748| 0.027|0|17.682| 0.018|0|17.399| 0.023|0|16.896| 0.075|90|   |PKM
483|    |00 50 58.20|+85 10 00|1|      |      |0|18.636| 0.025|0|17.694| 0.018|0|17.237| 0.019|0|16.768| 0.066| 0|   |PKM
484|4432|00 49 21.67|+85 16 29|1|      |      |0|18.583| 0.024|0|17.699| 0.018|0|17.455| 0.024|1|      |      |97|   |PKM
485|4582|00 50 58.14|+85 15 43|1|      |      |0|18.195| 0.017|0|17.709| 0.018|0|17.600| 0.027|1|      |      | 0|   |PKM
486|4260|00 50 24.21|+85 17 39|1|      |      |0|18.702| 0.026|0|17.717| 0.019|0|17.492| 0.025|1|      |      |94|   |PKM
487|1133|00 46 35.66|+85 13 41|1|      |      |0|18.876| 0.031|0|17.729| 0.019|0|17.402| 0.023|0|18.124| 0.226| 0|   |PKM
488|    |00 44 18.27|+85 19 06|1|      |      |0|18.391| 0.020|0|17.730| 0.019|0|17.516| 0.025|1|      |      |76|   |PKM
489|4401|00 49 09.99|+85 15 38|1|      |      |0|18.696| 0.027|0|17.751| 0.019|0|17.500| 0.025|1|      |      |89|   |PKM
490|    |00 51 49.88|+85 14 57|1|      |      |0|18.736| 0.027|0|17.807| 0.020|0|17.554| 0.026|1|      |      |95|   |PKM
491|4515|00 48 28.57|+85 12 09|1|      |      |0|18.765| 0.028|0|17.829| 0.021|0|17.610| 0.027|1|      |      |76|   |PKM
492|    |00 52 16.64|+85 12 12|1|      |      |0|18.857| 0.030|0|17.851| 0.021|0|17.491| 0.024|1|      |      |95|   |PKM
493|    |00 47 25.88|+85 19 01|1|      |      |0|18.786| 0.028|0|17.874| 0.021|0|17.600| 0.027|1|      |      |92|   |PKM
494|2378|00 50 38.17|+85 12 03|1|      |      |1|      |      |0|17.911| 0.022|0|17.414| 0.023|1|      |      |87|   |PKM
495|    |00 44 39.31|+85 14 33|1|      |      |0|18.889| 0.031|0|17.911| 0.022|0|17.523| 0.025|1|      |      |97|   |PKM
496|    |00 45 33.70|+85 13 42|1|      |      |0|19.096| 0.037|0|17.913| 0.022|0|17.273| 0.020|1|      |      | 0|b  |PKM
497|4441|00 49 24.29|+85 16 09|1|      |      |0|19.091| 0.037|0|17.921| 0.022|0|17.554| 0.026|1|      |      |92|   |PKM
498|4496|00 50 33.89|+85 15 05|1|      |      |0|18.302| 0.019|0|17.934| 0.023|1|      |      |1|      |      | 0|   |PKM
499|    |00 47 53.31|+85 09 46|0|21.554| 0.315|1|      |      |0|17.956| 0.023|0|17.376| 0.022|1|      |      |70|   |PKM
500|    |00 45 16.98|+85 09 24|1|      |      |1|      |      |0|17.963| 0.023|0|17.471| 0.024|1|      |      | 0|   |PKM
501|1174|00 47 57.67|+85 13 36|1|      |      |1|      |      |0|17.979| 0.024|0|17.296| 0.021|1|      |      |90|   |PKM
502|    |00 45 24.97|+85 16 09|1|      |      |1|      |      |0|17.999| 0.024|1|      |      |1|      |      | 0|b  |PKM
503|    |00 44 44.27|+85 16 32|1|      |      |0|18.419| 0.021|0|18.021| 0.024|0|17.851| 0.033|1|      |      | 0|   |PKM
504|    |00 45 33.65|+85 17 51|1|      |      |1|      |      |0|18.023| 0.024|0|17.329| 0.021|1|      |      | 0|   |PKM
505|    |00 46 05.42|+85 09 07|1|      |      |0|19.020| 0.035|0|18.036| 0.025|0|17.640| 0.028|1|      |      |79|   |PKM
506|    |00 49 10.83|+85 19 31|1|      |      |0|18.585| 0.024|0|18.060| 0.025|0|17.874| 0.034|1|      |      | 0|   |PKM
507|    |00 44 18.11|+85 18 50|1|      |      |0|18.744| 0.027|0|18.065| 0.025|0|17.873| 0.034|1|      |      | 0|   |PKM
508|    |00 48 42.82|+85 19 33|1|      |      |1|      |      |0|18.091| 0.026|0|17.825| 0.033|1|      |      | 0|   |PKM
509|    |00 46 26.29|+85 09 50|1|      |      |0|18.549| 0.023|0|18.093| 0.026|0|17.933| 0.036|1|      |      | 0|   |PKM
510|4571|00 47 08.84|+85 17 44|1|      |      |1|      |      |0|18.130| 0.027|0|17.674| 0.029|1|      |      |87|   |PKM
511|    |00 44 30.93|+85 14 38|1|      |      |1|      |      |0|18.151| 0.027|0|16.983| 0.016|0|16.744| 0.034| 0|   |PKM
512|    |00 51 43.91|+85 13 34|1|      |      |1|      |      |0|18.157| 0.027|0|17.712| 0.030|1|      |      |90|   |PKM
513|    |00 45 38.23|+85 12 42|1|      |      |0|19.257| 0.043|0|18.161| 0.028|0|18.005| 0.039|1|      |      |98|a  |PKM
514|    |00 52 40.21|+85 17 36|1|      |      |1|      |      |0|18.163| 0.028|0|17.640| 0.028|1|      |      |88|   |PKM
515|    |00 46 15.93|+85 13 34|1|      |      |0|19.333| 0.047|0|18.165| 0.028|0|18.066| 0.041|1|      |      |97|a  |PKM
516|    |00 47 57.13|+85 09 56|1|      |      |1|      |      |0|18.170| 0.028|0|17.827| 0.033|1|      |      |75|   |PKM
517|4435|00 46 52.72|+85 16 35|1|      |      |1|      |      |0|18.173| 0.028|0|17.473| 0.024|1|      |      |87|   |PKM
518|    |00 52 02.29|+85 18 20|1|      |      |1|      |      |0|18.197| 0.028|0|17.689| 0.029|1|      |      |89|   |PKM
519|    |00 52 06.83|+85 12 52|1|      |      |1|      |      |0|18.229| 0.029|1|      |      |1|      |      | 0|b  |PKM
520|    |00 48 10.18|+85 09 22|1|      |      |1|      |      |0|18.261| 0.030|0|17.922| 0.035|1|      |      |41|   |PKM
521|    |00 51 55.07|+85 17 46|1|      |      |1|      |      |0|18.298| 0.031|0|18.011| 0.039|1|      |      |91|   |PKM
522|    |00 50 10.11|+85 08 47|1|      |      |0|18.897| 0.031|0|18.300| 0.031|1|      |      |1|      |      | 0|   |PKM
523|2368|00 49 09.88|+85 12 55|1|      |      |1|      |      |0|18.307| 0.032|0|18.018| 0.039|1|      |      |88|   |PKM
524|1177|00 45 56.30|+85 15 17|1|      |      |1|      |      |0|18.309| 0.032|0|17.840| 0.033|1|      |      |95|   |PKM
525|    |00 47 05.02|+85 11 05|1|      |      |1|      |      |0|18.317| 0.032|0|17.842| 0.033|1|      |      |88|   |PKM
526|    |00 48 55.00|+85 09 06|1|      |      |1|      |      |0|18.337| 0.032|1|      |      |1|      |      | 0|   |PKM
527|    |00 48 49.02|+85 19 23|1|      |      |1|      |      |0|18.373| 0.033|0|17.957| 0.037|1|      |      |80|   |PKM
528|    |00 47 17.61|+85 08 46|1|      |      |0|18.823| 0.029|0|18.393| 0.034|1|      |      |1|      |      | 0|   |PKM
529|4708|00 51 08.93|+85 14 53|1|      |      |1|      |      |0|18.400| 0.034|1|      |      |1|      |      |89|   |PKM
530|    |00 46 18.06|+85 10 41|1|      |      |1|      |      |0|18.410| 0.034|1|      |      |1|      |      | 0|   |PKM
531|1170|00 47 34.15|+85 14 23|1|      |      |1|      |      |0|18.415| 0.035|0|18.522| 0.062|1|      |      |91|   |PKM
532|1171|00 46 41.44|+85 15 49|1|      |      |1|      |      |0|18.418| 0.035|0|18.119| 0.043|1|      |      |95|   |PKM
533|    |00 46 33.96|+85 19 14|1|      |      |1|      |      |0|18.429| 0.035|1|      |      |1|      |      |28|   |PKM
534|2356|00 48 23.97|+85 12 36|1|      |      |1|      |      |0|18.441| 0.035|0|17.908| 0.035|1|      |      |89|   |PKM
535|1167|00 48 13.12|+85 15 22|1|      |      |0|19.162| 0.040|0|18.446| 0.036|0|18.189| 0.046|1|      |      | 0|   |PKM
536|    |00 44 03.69|+85 18 52|1|      |      |1|      |      |0|18.456| 0.036|0|17.965| 0.037|1|      |      |63|   |PKM
537|1173|00 47 21.41|+85 12 31|1|      |      |0|19.081| 0.037|0|18.458| 0.036|1|      |      |1|      |      | 0|   |PKM
538|2358|00 48 44.64|+85 12 05|1|      |      |1|      |      |0|18.463| 0.036|0|18.044| 0.040|1|      |      |90|   |PKM
539|4748|00 51 02.97|+85 13 56|1|      |      |1|      |      |0|18.466| 0.036|1|      |      |1|      |      | 0|   |PKM
540|4364|00 50 13.85|+85 17 30|1|      |      |1|      |      |0|18.478| 0.037|1|      |      |1|      |      | 0|   |PKM
541|4623|00 50 29.24|+85 12 10|1|      |      |1|      |      |0|18.496| 0.037|0|16.980| 0.016|0|16.456| 0.028| 0|   |PKM
542|    |00 47 53.66|+85 10 59|1|      |      |1|      |      |0|18.536| 0.039|0|17.862| 0.034|1|      |      | 1|   |PKM
543|    |00 52 34.19|+85 11 20|1|      |      |1|      |      |0|18.536| 0.039|0|18.148| 0.043|1|      |      |84|   |PKM
544|    |00 44 19.72|+85 13 12|1|      |      |1|      |      |0|18.559| 0.039|1|      |      |1|      |      |94|   |PKM
545|    |00 45 09.07|+85 10 07|1|      |      |1|      |      |0|18.602| 0.041|1|      |      |1|      |      | 0|   |PKM
546|    |00 44 58.48|+85 11 26|1|      |      |1|      |      |0|18.616| 0.041|0|17.778| 0.031|1|      |      |92|   |PKM
547|    |00 45 17.92|+85 15 55|1|      |      |1|      |      |0|18.619| 0.042|0|18.101| 0.042|1|      |      |94|   |PKM
548|2371|00 49 11.98|+85 14 13|1|      |      |1|      |      |0|18.631| 0.042|1|      |      |1|      |      |85|   |PKM
549|    |00 45 36.92|+85 09 53|1|      |      |1|      |      |0|18.679| 0.044|1|      |      |1|      |      |91|b  |PKM
550|    |00 49 55.23|+85 10 43|1|      |      |1|      |      |0|18.727| 0.046|1|      |      |1|      |      | 0|   |PKM
551|    |00 45 13.55|+85 10 22|1|      |      |1|      |      |0|18.741| 0.046|0|17.963| 0.037|1|      |      |78|   |PKM
552|1178|00 46 07.44|+85 13 49|1|      |      |1|      |      |0|18.754| 0.047|0|16.995| 0.016|0|16.288| 0.025| 0|   |PKM
553|4250|00 47 12.27|+85 17 26|1|      |      |1|      |      |0|18.761| 0.047|1|      |      |1|      |      | 1|   |PKM
554|1129|00 48 53.73|+85 14 09|1|      |      |1|      |      |0|18.767| 0.048|1|      |      |1|      |      | 0|   |PKM
555|    |00 51 36.91|+85 13 07|1|      |      |1|      |      |0|18.770| 0.048|0|17.662| 0.028|1|      |      | 0|   |PKM
556|2370|00 49 09.61|+85 13 43|1|      |      |1|      |      |0|18.781| 0.048|1|      |      |1|      |      |85|   |PKM
557|    |00 44 35.96|+85 16 50|1|      |      |1|      |      |0|18.801| 0.049|1|      |      |1|      |      |21|   |PKM
558|1176|00 45 46.38|+85 17 16|1|      |      |0|19.689| 0.064|0|18.844| 0.051|1|      |      |1|      |      |13|   |PKM
559|4189|00 48 28.02|+85 17 26|1|      |      |1|      |      |0|18.863| 0.052|1|      |      |1|      |      | 0|   |PKM
560|    |00 44 23.90|+85 14 31|1|      |      |1|      |      |0|18.865| 0.052|1|      |      |1|      |      |93|   |PKM
561|    |00 44 14.41|+85 11 10|1|      |      |1|      |      |0|18.919| 0.054|1|      |      |1|      |      |87|   |PKM
562|1131|00 47 54.99|+85 14 40|1|      |      |1|      |      |0|18.985| 0.059|0|17.933| 0.037|1|      |      |87|c  |PKM
563|1172|00 48 05.90|+85 14 33|1|      |      |1|      |      |0|19.978| 0.146|1|      |      |1|      |      |85|c  |PKM
564|    |00 45 22.19|+85 13 55|1|      |      |1|      |      |0|20.288| 0.192|0|18.749| 0.076|1|      |      | 0|   |PKM
565|    |00 43 54.95|+85 12 09|1|      |      |1|      |      |1|      |      |0|17.163| 0.018|1|      |      | 0|   |PKM
566|    |00 43 51.17|+85 17 29|1|      |      |1|      |      |1|      |      |0|16.942| 0.015|0|16.987| 0.041|91|   |PKM
567|    |00 43 54.67|+85 12 17|1|      |      |1|      |      |1|      |      |0|16.140| 0.008|0|16.107| 0.022|95|   |PKM
568|    |00 44 13.13|+85 09 30|0|15.653| 0.003|1|      |      |1|      |      |1|      |      |1|      |      |71|d  |PKM
569|    |00 44 12.46|+85 09 34|0|15.653| 0.003|1|      |      |1|      |      |1|      |      |1|      |      |-1|d  |PKM
570|    |00 50 44.21|+85 17 43|0|14.549| 0.002|1|      |      |1|      |      |1|      |      |1|      |      | 0|d  |PKM
571|    |00 44 12.52|+85 09 31|0|15.660| 0.006|0|12.120| 0.003|1|      |      |1|      |      |1|      |      |71|d  |PKM

